Model,Cluster,Component,Feature,ConnectionInstance,Combined
example security security system i,44,security process controller algorithm signer mac verifier mac verifier encryptor decryptor key gen random key store,crypto control crypto control crypto control security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce in key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce in key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce in key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key,signerfetch key key storefetch key macfetch key key storefetch key verifierfetch key key storefetch key mac verifierfetch key key storefetch key encryptorfetch key key storefetch key decryptorfetch key key storefetch key key genstore key key storestore key key storeretreived key signerretreived key key storeretreived key macretreived key key storeretreived key verifierretreived key key storeretreived key mac verifierretreived key key storeretreived key encryptorretreived key key storeretreived key decryptorretreived key controllersecurity interfacesign message algorithmssignersign message controllersecurity interfacealgorithm algorithmssigneralgorithm controllersecurity interfacesource text algorithmssignersource text controllersecurity interfacenonce in algorithmssignernonce in controllersecurity interfacekey label algorithmssignerkey label controllersecurity interfacemac message algorithmsmacmac message controllersecurity interfacealgorithm algorithmsmacalgorithm controllersecurity interfacesource text algorithmsmacsource text controllersecurity interfacenonce in algorithmsmacnonce in controllersecurity interfacekey label algorithmsmackey label controllersecurity interfaceverify signature algorithmsverifierverify signature controllersecurity interfacealgorithm algorithmsverifieralgorithm controllersecurity interfacesource text algorithmsverifiersource text controllersecurity interfacenonce in algorithmsverifiernonce in controllersecurity interfacekey label algorithmsverifierkey label controllersecurity interfacetag algorithmsverifiertag controllersecurity interfaceverify mac algorithmsmac verifierverify mac controllersecurity interfacealgorithm algorithmsmac verifieralgorithm controllersecurity interfacesource text algorithmsmac verifiersource text controllersecurity interfacenonce in algorithmsmac verifiernonce in controllersecurity interfacekey label algorithmsmac verifierkey label controllersecurity interfacetag algorithmsmac verifiertag controllersecurity interfaceencrypt algorithmsencryptorencrypt controllersecurity interfacealgorithm algorithmsencryptoralgorithm controllersecurity interfacesource text algorithmsencryptorsource text controllersecurity interfacenonce in algorithmsencryptornonce in controllersecurity interfacekey label algorithmsencryptorkey label controllersecurity interfacedecrypt algorithmsdecryptordecrypt controllersecurity interfacealgorithm algorithmsdecryptoralgorithm controllersecurity interfacesource text algorithmsdecryptorsource text controllersecurity interfacekey label algorithmsdecryptorkey label controllersecurity interfacegenerate key algorithmskey gengenerate key controllersecurity interfacealgorithm algorithmskey genalgorithm controllersecurity interfacekey label algorithmskey genrequested key label controllersecurity interfacegenerate random number algorithmsrandomgenerate random number algorithmssignerresult text controllersecurity interfaceresult text algorithmssigneroperation failed controllersecurity interfaceoperation failed algorithmssignerbad format controllersecurity interfacebad format algorithmsmacresult text controllersecurity interfaceresult text algorithmsmacoperation failed controllersecurity interfaceoperation failed algorithmsmacbad format controllersecurity interfacebad format algorithmsverifierokay controllersecurity interfaceokay algorithmsverifieroperation failed controllersecurity interfaceoperation failed algorithmsverifierbad format controllersecurity interfacebad format algorithmsmac verifierokay controllersecurity interfaceokay algorithmsmac verifieroperation failed controllersecurity interfaceoperation failed algorithmsmac verifierbad format controllersecurity interfacebad format algorithmsencryptorresult text controllersecurity interfaceresult text algorithmsencryptoroperation failed controllersecurity interfaceoperation failed algorithmsencryptorbad format controllersecurity interfacebad format algorithmsdecryptorresult text controllersecurity interfaceresult text algorithmsdecryptoroperation failed controllersecurity interfaceoperation failed algorithmsdecryptorbad format controllersecurity interfacebad format algorithmskey genkey label controllersecurity interfaceresult text algorithmskey genoperation failed controllersecurity interfaceoperation failed algorithmsrandomresult text controllersecurity interfaceresult text algorithmsrandomoperation failed controllersecurity interfaceoperation failed crypto control security processcontrollercrypto control security processcontrollercrypto control crypto control,security process controller algorithm signer mac verifier mac verifier encryptor decryptor key gen random key store crypto control crypto control crypto control security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce in key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce in key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce in key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key signerfetch key key storefetch key macfetch key key storefetch key verifierfetch key key storefetch key mac verifierfetch key key storefetch key encryptorfetch key key storefetch key decryptorfetch key key storefetch key key genstore key key storestore key key storeretreived key signerretreived key key storeretreived key macretreived key key storeretreived key verifierretreived key key storeretreived key mac verifierretreived key key storeretreived key encryptorretreived key key storeretreived key decryptorretreived key controllersecurity interfacesign message algorithmssignersign message controllersecurity interfacealgorithm algorithmssigneralgorithm controllersecurity interfacesource text algorithmssignersource text controllersecurity interfacenonce in algorithmssignernonce in controllersecurity interfacekey label algorithmssignerkey label controllersecurity interfacemac message algorithmsmacmac message controllersecurity interfacealgorithm algorithmsmacalgorithm controllersecurity interfacesource text algorithmsmacsource text controllersecurity interfacenonce in algorithmsmacnonce in controllersecurity interfacekey label algorithmsmackey label controllersecurity interfaceverify signature algorithmsverifierverify signature controllersecurity interfacealgorithm algorithmsverifieralgorithm controllersecurity interfacesource text algorithmsverifiersource text controllersecurity interfacenonce in algorithmsverifiernonce in controllersecurity interfacekey label algorithmsverifierkey label controllersecurity interfacetag algorithmsverifiertag controllersecurity interfaceverify mac algorithmsmac verifierverify mac controllersecurity interfacealgorithm algorithmsmac verifieralgorithm controllersecurity interfacesource text algorithmsmac verifiersource text controllersecurity interfacenonce in algorithmsmac verifiernonce in controllersecurity interfacekey label algorithmsmac verifierkey label controllersecurity interfacetag algorithmsmac verifiertag controllersecurity interfaceencrypt algorithmsencryptorencrypt controllersecurity interfacealgorithm algorithmsencryptoralgorithm controllersecurity interfacesource text algorithmsencryptorsource text controllersecurity interfacenonce in algorithmsencryptornonce in controllersecurity interfacekey label algorithmsencryptorkey label controllersecurity interfacedecrypt algorithmsdecryptordecrypt controllersecurity interfacealgorithm algorithmsdecryptoralgorithm controllersecurity interfacesource text algorithmsdecryptorsource text controllersecurity interfacekey label algorithmsdecryptorkey label controllersecurity interfacegenerate key algorithmskey gengenerate key controllersecurity interfacealgorithm algorithmskey genalgorithm controllersecurity interfacekey label algorithmskey genrequested key label controllersecurity interfacegenerate random number algorithmsrandomgenerate random number algorithmssignerresult text controllersecurity interfaceresult text algorithmssigneroperation failed controllersecurity interfaceoperation failed algorithmssignerbad format controllersecurity interfacebad format algorithmsmacresult text controllersecurity interfaceresult text algorithmsmacoperation failed controllersecurity interfaceoperation failed algorithmsmacbad format controllersecurity interfacebad format algorithmsverifierokay controllersecurity interfaceokay algorithmsverifieroperation failed controllersecurity interfaceoperation failed algorithmsverifierbad format controllersecurity interfacebad format algorithmsmac verifierokay controllersecurity interfaceokay algorithmsmac verifieroperation failed controllersecurity interfaceoperation failed algorithmsmac verifierbad format controllersecurity interfacebad format algorithmsencryptorresult text controllersecurity interfaceresult text algorithmsencryptoroperation failed controllersecurity interfaceoperation failed algorithmsencryptorbad format controllersecurity interfacebad format algorithmsdecryptorresult text controllersecurity interfaceresult text algorithmsdecryptoroperation failed controllersecurity interfaceoperation failed algorithmsdecryptorbad format controllersecurity interfacebad format algorithmskey genkey label controllersecurity interfaceresult text algorithmskey genoperation failed controllersecurity interfaceoperation failed algorithmsrandomresult text controllersecurity interfaceresult text algorithmsrandomoperation failed controllersecurity interfaceoperation failed crypto control security processcontrollercrypto control security processcontrollercrypto control crypto control
example separation vp xen,27,xenbr xenbr xenbr xenbr xenbr xenbr dom control vm cpal vm firewall vm operation vm safety vm,eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr,xenbr firewall vmeth xenbr firewall vmeth xenbr safety vmeth xenbr cpal vmeth xenbr safety vmeth xenbr operation vmeth xenbr safety vmeth xenbr cpal vmeth xenbr operation vmeth xenbr operation vmeth xenbr control vmxenbr control vmxenbr xenbr cpal vmeth xenbr cpal vmeth xenbr firewall vmeth xenbr firewall vmeth xenbr operation vmeth xenbr operation vmeth xenbr operation vmeth xenbr safety vmeth xenbr safety vmeth xenbr safety vmeth xenbr,xenbr xenbr xenbr xenbr xenbr xenbr dom control vm cpal vm firewall vm operation vm safety vm eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr xenbr firewall vmeth xenbr firewall vmeth xenbr safety vmeth xenbr cpal vmeth xenbr safety vmeth xenbr operation vmeth xenbr safety vmeth xenbr cpal vmeth xenbr operation vmeth xenbr operation vmeth xenbr control vmxenbr control vmxenbr xenbr cpal vmeth xenbr cpal vmeth xenbr firewall vmeth xenbr firewall vmeth xenbr operation vmeth xenbr operation vmeth xenbr operation vmeth xenbr safety vmeth xenbr safety vmeth xenbr safety vmeth xenbr
example sw sw,44,fc uart uartdriver radio radiodriver attestation flyzones flyzonesdatabase uxas uxas wpm waypointplanmanagerservice am case attestationmanager am gate case attestationgate flt areq case filter areq flt or case filter or flt lst case filter lst mon req case monitor req flt are case filter are mon geo case monitor geo,uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data missioncommand send data airvehiclestate am request am response recv data send data automationrequest operatingregion linesearchtask recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask am request am response keep in zone keep out zone keep in zone keep out zone automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationresponse airvehiclestate missioncommand returnhome automationresponse airvehiclestate missioncommand returnhome trusted id attestation request attestation response trusted id attestation request attestation response trusted id automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out trusted id automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out observed reference observed reference filter in filter out filter in filter out keep in zone keep out zone observed output alert keep in zone keep out zone observed output alert,uart recv fc uartuartdriverrecv data radio recv radioradiodriver attestationrecv data fc uartuartdriversend data uart send fc uartuartdriverairvehiclestate uxasuxasairvehiclestate fc uartuartdriverairvehiclestate wpmwaypointplanmanagerserviceairvehiclestate radioradiodriver attestationsend data radio send radioradiodriver attestationautomationrequest am gatecase attestationgateautomationrequest in radioradiodriver attestationoperatingregion am gatecase attestationgateoperatingregion in radioradiodriver attestationlinesearchtask am gatecase attestationgatelinesearchtask in radioradiodriver attestationam response amcase attestationmanagerattestation response flyzonesflyzonesdatabasekeep in zone mon geocase monitor geokeep in zone flyzonesflyzonesdatabasekeep out zone mon geocase monitor geokeep out zone uxasuxasautomationresponse flt arescase filter aresfilter in uxasuxasautomationresponse mon reqcase monitor reqobserved wpmwaypointplanmanagerservicemissioncommand fc uartuartdrivermissioncommand amcase attestationmanagertrusted id am gatecase attestationgatetrusted id amcase attestationmanagerattestation request radioradiodriver attestationam request am gatecase attestationgateautomationrequest out flt areqcase filter areqfilter in am gatecase attestationgateoperatingregion out flt orcase filter orfilter in am gatecase attestationgatelinesearchtask out flt lstcase filter lstfilter in flt areqcase filter areqfilter out uxasuxasautomationrequest flt areqcase filter areqfilter out mon reqcase monitor reqreference flt orcase filter orfilter out uxasuxasoperatingregion flt lstcase filter lstfilter out uxasuxaslinesearchtask flt arescase filter aresfilter out mon geocase monitor geoobserved mon geocase monitor geooutput wpmwaypointplanmanagerserviceautomationresponse mon geocase monitor geoalert wpmwaypointplanmanagerservicereturnhome,fc uart uartdriver radio radiodriver attestation flyzones flyzonesdatabase uxas uxas wpm waypointplanmanagerservice am case attestationmanager am gate case attestationgate flt areq case filter areq flt or case filter or flt lst case filter lst mon req case monitor req flt are case filter are mon geo case monitor geo uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data missioncommand send data airvehiclestate am request am response recv data send data automationrequest operatingregion linesearchtask recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask am request am response keep in zone keep out zone keep in zone keep out zone automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationresponse airvehiclestate missioncommand returnhome automationresponse airvehiclestate missioncommand returnhome trusted id attestation request attestation response trusted id attestation request attestation response trusted id automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out trusted id automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out observed reference observed reference filter in filter out filter in filter out keep in zone keep out zone observed output alert keep in zone keep out zone observed output alert uart recv fc uartuartdriverrecv data radio recv radioradiodriver attestationrecv data fc uartuartdriversend data uart send fc uartuartdriverairvehiclestate uxasuxasairvehiclestate fc uartuartdriverairvehiclestate wpmwaypointplanmanagerserviceairvehiclestate radioradiodriver attestationsend data radio send radioradiodriver attestationautomationrequest am gatecase attestationgateautomationrequest in radioradiodriver attestationoperatingregion am gatecase attestationgateoperatingregion in radioradiodriver attestationlinesearchtask am gatecase attestationgatelinesearchtask in radioradiodriver attestationam response amcase attestationmanagerattestation response flyzonesflyzonesdatabasekeep in zone mon geocase monitor geokeep in zone flyzonesflyzonesdatabasekeep out zone mon geocase monitor geokeep out zone uxasuxasautomationresponse flt arescase filter aresfilter in uxasuxasautomationresponse mon reqcase monitor reqobserved wpmwaypointplanmanagerservicemissioncommand fc uartuartdrivermissioncommand amcase attestationmanagertrusted id am gatecase attestationgatetrusted id amcase attestationmanagerattestation request radioradiodriver attestationam request am gatecase attestationgateautomationrequest out flt areqcase filter areqfilter in am gatecase attestationgateoperatingregion out flt orcase filter orfilter in am gatecase attestationgatelinesearchtask out flt lstcase filter lstfilter in flt areqcase filter areqfilter out uxasuxasautomationrequest flt areqcase filter areqfilter out mon reqcase monitor reqreference flt orcase filter orfilter out uxasuxasoperatingregion flt lstcase filter lstfilter out uxasuxaslinesearchtask flt arescase filter aresfilter out mon geocase monitor geoobserved mon geocase monitor geooutput wpmwaypointplanmanagerserviceautomationresponse mon geocase monitor geoalert wpmwaypointplanmanagerservicereturnhome
example uas uas,41,rfb gnd uav sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl,send map recv status rfa rfa recv map send status uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca uarta waypoint position status,radiorecv map out fltfilter in fltfilter out fplnrecv map fpln fltflight plan out fpln validflight plan in fpln validflight plan out wpmflight plan fplnflight plan fpln fltflight plan in wpmwaypoint uartwaypoint in uartposition status out wpmposition status uartposition status out fplnposition status uartposition status out radiosend status in bus hw radio hwmca bus hw uart hwmca bus hw proc hwmca bus hw mem hwmca radio hwrecv map out proc swradiorecv map in radio hwmca bus hw uart hwposition status out proc swuartposition status in uart hwmca bus hw mem hwmca bus hw proc swradiosend status out radio hwsend status in proc swuartwaypoint out uart hwwaypoint in proc hwmca bus hw sbus mcmpuart hwuarta sbus fctluarta mcmpuart hwwaypoint out fctlwaypoint mcmpuart hwuarta sbus fctluarta sbus fctlposition status mcmpuart hwposition status in rfb gndrfa rfb uavmcmpradio hwrfa gndsend map uavmcmpradio hwrecv map in gndrfa rfb uavmcmpradio hwsend status out gndrecv status,rfb gnd uav sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl send map recv status rfa rfa recv map send status uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca uarta waypoint position status radiorecv map out fltfilter in fltfilter out fplnrecv map fpln fltflight plan out fpln validflight plan in fpln validflight plan out wpmflight plan fplnflight plan fpln fltflight plan in wpmwaypoint uartwaypoint in uartposition status out wpmposition status uartposition status out fplnposition status uartposition status out radiosend status in bus hw radio hwmca bus hw uart hwmca bus hw proc hwmca bus hw mem hwmca radio hwrecv map out proc swradiorecv map in radio hwmca bus hw uart hwposition status out proc swuartposition status in uart hwmca bus hw mem hwmca bus hw proc swradiosend status out radio hwsend status in proc swuartwaypoint out uart hwwaypoint in proc hwmca bus hw sbus mcmpuart hwuarta sbus fctluarta mcmpuart hwwaypoint out fctlwaypoint mcmpuart hwuarta sbus fctluarta sbus fctlposition status mcmpuart hwposition status in rfb gndrfa rfb uavmcmpradio hwrfa gndsend map uavmcmpradio hwrecv map in gndrfa rfb uavmcmpradio hwsend status out gndrecv status
example uav uav,41,sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl,rfa recv map send status uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca uarta waypoint position status,radiorecv map out fltfilter in fltfilter out fplnrecv map fpln fltflight plan out fpln validflight plan in fpln validflight plan out wpmflight plan fplnflight plan fpln fltflight plan in wpmwaypoint uartwaypoint in uartposition status out wpmposition status uartposition status out fplnposition status uartposition status out radiosend status in bus hw radio hwmca bus hw uart hwmca bus hw proc hwmca bus hw mem hwmca radio hwrecv map out proc swradiorecv map in radio hwmca bus hw uart hwposition status out proc swuartposition status in uart hwmca bus hw mem hwmca bus hw proc swradiosend status out radio hwsend status in proc swuartwaypoint out uart hwwaypoint in proc hwmca bus hw rfa mcmpradio hwrfa recv map mcmpradio hwrecv map in sbus mcmpuart hwuarta sbus fctluarta mcmpradio hwsend status out send status mcmpuart hwwaypoint out fctlwaypoint mcmpuart hwuarta sbus fctluarta sbus fctlposition status mcmpuart hwposition status in,sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl rfa recv map send status uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca uarta waypoint position status radiorecv map out fltfilter in fltfilter out fplnrecv map fpln fltflight plan out fpln validflight plan in fpln validflight plan out wpmflight plan fplnflight plan fpln fltflight plan in wpmwaypoint uartwaypoint in uartposition status out wpmposition status uartposition status out fplnposition status uartposition status out radiosend status in bus hw radio hwmca bus hw uart hwmca bus hw proc hwmca bus hw mem hwmca radio hwrecv map out proc swradiorecv map in radio hwmca bus hw uart hwposition status out proc swuartposition status in uart hwmca bus hw mem hwmca bus hw proc swradiosend status out radio hwsend status in proc swuartwaypoint out uart hwwaypoint in proc hwmca bus hw rfa mcmpradio hwrfa recv map mcmpradio hwrecv map in sbus mcmpuart hwuarta sbus fctluarta mcmpradio hwsend status out send status mcmpuart hwwaypoint out fctlwaypoint mcmpuart hwuarta sbus fctluarta sbus fctlposition status mcmpuart hwposition status in
gumbo tempcontrolsoftwaresystem tempcontrolsoftwaresystem isocontrol,44,csproc tempsensor fan tempcontrol oiproc operatorinterface,currenttemp setpoint tempchanged currenttemp tempchanged fancmd fanack currenttemp fanack setpoint fancmd tempchanged currenttemp setpoint tempchanged currenttemp setpoint tempchanged,tempsensorcurrenttemp tempcontrolcurrenttemp tempsensortempchanged tempcontroltempchanged fanfanack tempcontrolfanack tempcontrolfancmd fanfancmd csproctempsensorcurrenttemp oiprocoperatorinterfacecurrenttemp csproctempsensortempchanged oiprocoperatorinterfacetempchanged oiprocoperatorinterfacesetpoint csproctempcontrolsetpoint,csproc tempsensor fan tempcontrol oiproc operatorinterface currenttemp setpoint tempchanged currenttemp tempchanged fancmd fanack currenttemp fanack setpoint fancmd tempchanged currenttemp setpoint tempchanged currenttemp setpoint tempchanged tempsensorcurrenttemp tempcontrolcurrenttemp tempsensortempchanged tempcontroltempchanged fanfanack tempcontrolfanack tempcontrolfancmd fanfancmd csproctempsensorcurrenttemp oiprocoperatorinterfacecurrenttemp csproctempsensortempchanged oiprocoperatorinterfacetempchanged oiprocoperatorinterfacesetpoint csproctempcontrolsetpoint
gumbo tempcontrolsoftwaresystem tempcontrolsoftwaresystem i,44,tcproc tempsensor fan tempcontrol operatorinterface,currenttemp tempchanged fancmd fanack currenttemp fanack setpoint fancmd tempchanged currenttemp setpoint tempchanged,tempsensorcurrenttemp tempcontrolcurrenttemp tempsensorcurrenttemp operatorinterfacecurrenttemp tempsensortempchanged tempcontroltempchanged tempsensortempchanged operatorinterfacetempchanged fanfanack tempcontrolfanack tempcontrolfancmd fanfancmd operatorinterfacesetpoint tempcontrolsetpoint,tcproc tempsensor fan tempcontrol operatorinterface currenttemp tempchanged fancmd fanack currenttemp fanack setpoint fancmd tempchanged currenttemp setpoint tempchanged tempsensorcurrenttemp tempcontrolcurrenttemp tempsensorcurrenttemp operatorinterfacecurrenttemp tempsensortempchanged tempcontroltempchanged tempsensortempchanged operatorinterfacetempchanged fanfanack tempcontrolfanack tempcontrolfancmd fanfancmd operatorinterfacesetpoint tempcontrolsetpoint
mdl gear system digital part dp,5,mbdp dp mem dp pit gmt adt dp proc,general ev open ev close ev rectract ev extend ev maneuvring locked down error handle switch value door closed hydrolic presurized door openned gear extended gear retracted gear shock absorb mbus general ev open ev close ev rectract ev extend ev maneuvring locked down error handle switch value door closed hydrolic presurized door openned gear extended gear retracted gear shock absorb maneuvring locked down error door closed door openned gear extended gear retracted gear shock absorb general ev open ev close ev rectract ev extend ev switch value handle hydrolic presurized door closed door openned gear extended gear retracted gear shock absorb error general ev maneuvring gear extended gear retracted door openned door closed mbus,mbdp dp procmbus mbdp dp memmbus dp memmbus mbdp dp procmbus mbdp,mbdp dp mem dp pit gmt adt dp proc general ev open ev close ev rectract ev extend ev maneuvring locked down error handle switch value door closed hydrolic presurized door openned gear extended gear retracted gear shock absorb mbus general ev open ev close ev rectract ev extend ev maneuvring locked down error handle switch value door closed hydrolic presurized door openned gear extended gear retracted gear shock absorb maneuvring locked down error door closed door openned gear extended gear retracted gear shock absorb general ev open ev close ev rectract ev extend ev switch value handle hydrolic presurized door closed door openned gear extended gear retracted gear shock absorb error general ev maneuvring gear extended gear retracted door openned door closed mbus mbdp dp procmbus mbdp dp memmbus dp memmbus mbdp dp procmbus mbdp
map apps pca shutoff pca shutoff system imp,42,pulseox capnograph pcapump applogic updatespothread updaterespiratoryratethread pumpcontrolthread capnographerrorthread pulseoxerrorthread appdisplay updatespothread updateetcothread updaterespiratoryratethread pumpstatusthread,spo deviceerror etco respiratoryrate deviceerror pumpnormally etco spo respiratoryrate commandpumpnormal capnographerror pulseoxerror spo respiratoryrate pumpnormal capnographerror pulseoxerror spo etco respiratoryrate commandpumpnormal show spo etco respiratoryrate statusnormal,pulseoxspo applogicupdatespothreadspo pulseoxspo appdisplayupdatespothreadspo pulseoxdeviceerror applogicpulseoxerrorthreadpulseoxerror capnographetco applogicetco capnographetco appdisplayupdateetcothreadetco capnographrespiratoryrate applogicupdaterespiratoryratethreadrespiratoryrate capnographrespiratoryrate appdisplayupdaterespiratoryratethreadrespiratoryrate capnographdeviceerror applogiccapnographerrorthreadcapnographerror applogicpumpcontrolthreadpumpnormal pcapumppumpnormally applogicpumpcontrolthreadpumpnormal appdisplaypumpstatusthreadstatusnormal,pulseox capnograph pcapump applogic updatespothread updaterespiratoryratethread pumpcontrolthread capnographerrorthread pulseoxerrorthread appdisplay updatespothread updateetcothread updaterespiratoryratethread pumpstatusthread spo deviceerror etco respiratoryrate deviceerror pumpnormally etco spo respiratoryrate commandpumpnormal capnographerror pulseoxerror spo respiratoryrate pumpnormal capnographerror pulseoxerror spo etco respiratoryrate commandpumpnormal show spo etco respiratoryrate statusnormal pulseoxspo applogicupdatespothreadspo pulseoxspo appdisplayupdatespothreadspo pulseoxdeviceerror applogicpulseoxerrorthreadpulseoxerror capnographetco applogicetco capnographetco appdisplayupdateetcothreadetco capnographrespiratoryrate applogicupdaterespiratoryratethreadrespiratoryrate capnographrespiratoryrate appdisplayupdaterespiratoryratethreadrespiratoryrate capnographdeviceerror applogiccapnographerrorthreadcapnographerror applogicpumpcontrolthreadpumpnormal pcapumppumpnormally applogicpumpcontrolthreadpumpnormal appdisplaypumpstatusthreadstatusnormal
map apps pulseox forwarding system pulseox forwarding system imp,42,pulseox applogic checkspothread appdisplay updatespothread handlealarmthread,spo deviceerror spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm,pulseox applogic checkspothread appdisplay updatespothread handlealarmthread spo deviceerror spo derivedalarm alarm spo derivedalarm spo alarm pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
model emtest dependable system notional,7,s1 s2 s3 s4,o a b c a failure detected b failure detected o a b c a failure detected b failure detected o a b c a failure detected b failure detected o a b c a failure detected b failure detected,,s1 s2 s3 s4 o a b c a failure detected b failure detected o a b c a failure detected b failure detected o a b c a failure detected b failure detected o a b c a failure detected b failure detected nan
model peterexample main i,8,p1 t1 t2 p2 t1 t2,pd pe pd pe pd pe pd pe pd pe pd pe,ptpe ptpe ptpe ptpe,p1 t1 t2 p2 t1 t2 pd pe pd pe pd pe pd pe pd pe pd pe ptpe ptpe ptpe ptpe
networking refmodel afdx presynthesis afdx presynthesis i,19,software layer p p p p hw platform wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu afdx network p p p p,sout qout sin sout qin qout sin qin sin sin afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci,p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx,software layer p p p p hw platform wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu afdx network p p p p sout qout sin sout qin qout sin qin sin sin afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx
