Model,Component,Feature,ConnectionInstance
aadlprojects speedwrisic tminfo 1,"tmdistribution , tmlimits , tmmontior , survelliance","variablespeed , sensorscontrol , sensorsflowpath , trafficsituation , speedmminfo , speedmmstatus , varspeed , status , info , envin , envout , trafficdata","variablespeed > tmdistribution.varspeed , sensorsflowpath > tmmontior.envin , trafficsituation > survelliance.trafficdata , speedmmstatus > tmlimits.status , tmlimits.info > speedmminfo , tmmontior.envout > sensorscontrol"
aadlprojects speedwrisic vehicletransit 1,"sensor , speedassistances , roadsideinforeception , speed limit , vehicle signage , environmentmontior , sensor , safecheck","lspeed , wsensor , speedmgmtdata , signalinfo , sensor output , speedinformation , speedmanagement , vehiclesignage , speedinformation , s in , s out , v in , s out , s in , in data , envdata , temp in , temp out , locationinfo","speed limit.s out > vehicle signage.s in , speedmgmtdata > roadsideinforeception.speed limit.s in , signalinfo > roadsideinforeception.vehicle signage.v in , sensor.sensor output > environmentmontior.sensor.temp in , roadsideinforeception.vehicle signage.s out > speedassistances.speedinformation , environmentmontior.sensor.temp out > wsensor , safecheck.locationinfo > lspeed"
aadlprojects vtv transvobe 1,"transv2vsafety , status , op ctrl , loc ctrl , thp , thl","bus access , host status , coll inf , op disp , op in , rvloc , vloc , alarm , pla ctrl , chg ctrl , p , l , host status , coll inf , op disp , op in , rvloc , vloc , alarm , pla ctrl , chg ctrl , p , l , host status , coll inf , alarm , p , l , op disp , op in , dp , dl , rvloc , vloc , datin , datout , datin , datout","op ctrl.dp > thp.datin , op ctrl.dl > thl.datin , host status > transv2vsafety.status.host status , op in > transv2vsafety.op ctrl.op in , rvloc > transv2vsafety.loc ctrl.rvloc , transv2vsafety.status.coll inf > coll inf , transv2vsafety.status.alarm > alarm , transv2vsafety.status.p > p , transv2vsafety.status.l > l , transv2vsafety.op ctrl.op disp > op disp , transv2vsafety.loc ctrl.vloc > vloc , transv2vsafety.thp.datout > pla ctrl , transv2vsafety.thl.datout > chg ctrl"
aadlprojects vtv vehicletransitsystem 1,"transitvehicledatabus , roadsideequip , itsroadequip , transvobe , transv2vsafety , status , op ctrl , loc ctrl , thp , thl , remotevehicleobe , transoperator","host status , coll inf , pla ctrl , chg ctrl , vloc e , dvr inf , bus access , host status , coll inf , op disp , op in , rvloc , vloc , alarm , pla ctrl , chg ctrl , p , l , host status , coll inf , op disp , op in , rvloc , vloc , alarm , pla ctrl , chg ctrl , p , l , host status , coll inf , alarm , p , l , op disp , op in , dp , dl , rvloc , vloc , datin , datout , datin , datout , rvloc , vloc , vloc e , dvr inf , op disp , op in , alarm","op ctrl.dp > thp.datin , op ctrl.dl > thl.datin , transitvehicledatabus > transvobe.bus access , transitvehicledatabus.host status > transvobe.transv2vsafety.status.host status , itsroadequip.dvr inf > transoperator.dvr inf , transvobe.transv2vsafety.status.coll inf > transitvehicledatabus.coll inf , transvobe.transv2vsafety.status.alarm > transoperator.alarm , transvobe.transv2vsafety.op ctrl.op disp > transoperator.op disp , transvobe.transv2vsafety.loc ctrl.vloc > remotevehicleobe.vloc , transvobe.transv2vsafety.thp.datout > transitvehicledatabus.pla ctrl , transvobe.transv2vsafety.thl.datout > transitvehicledatabus.chg ctrl , remotevehicleobe.rvloc > transvobe.transv2vsafety.loc ctrl.rvloc , remotevehicleobe.vloc e > roadsideequip.vloc e , transoperator.op in > transvobe.transv2vsafety.op ctrl.op in"
aadlv2 issue 16 parent 1,"child , child2","fg1 , fg2 , f3 , f2 , f3 , fg1 , fg2 , f3 , f2 , f3 , f1 , fg1 , fg2 , f3 , f2 , f3 , f1","child.fg1.f2 > child2.fg1.f3 , child.f1 > fg1.fg2"
aadlvending sterownik vendingmachinesterownik with devices 1,"sys bus , sys fotokomorka , sys przyciski , sys wyswietlacz , sys liczydlo , sys podajnik , sys controller , this thread motion , this thread deal , this thread give , this thread view , this thread money , this thread buttons , sys main proccesor , main processor ram","motion out , bus access , wcisnieto out , bus access , wiadomosc in , bus access , sum of money out , reszta in , bus access , wysun produkt in , bus access , sum of money in , reszta out , wiadomosc out , wysun produkt out , wcisnieto in , motion in , motion in , motion out , button in , message out , wysun out , reszta out , sum in , motion in , wysun in , reszta in , wysun out , reszta out , message in , message out , sum in , sum out , button in , button out , bus access","this thread motion.motion out > this thread deal.motion in , this thread deal.message out > this thread view.message in , this thread deal.wysun out > this thread give.wysun in , this thread deal.reszta out > this thread give.reszta in , this thread money.sum out > this thread deal.sum in , this thread buttons.button out > this thread deal.button in , sys bus > sys fotokomorka.bus access , sys bus > sys przyciski.bus access , sys bus > sys wyswietlacz.bus access , sys bus > sys liczydlo.bus access , sys bus > sys podajnik.bus access , sys bus > sys main proccesor.bus access , sys fotokomorka.motion out > sys controller.this thread motion.motion in , sys przyciski.wcisnieto out > sys controller.this thread buttons.button in , sys liczydlo.sum of money out > sys controller.this thread money.sum in , sys controller.this thread give.wysun out > sys podajnik.wysun produkt in , sys controller.this thread give.reszta out > sys liczydlo.reszta in , sys controller.this thread view.message out > sys wyswietlacz.wiadomosc in"
aadlvending sterownik vendingmachinesterownik with devices 2,"sys bus , sys fotokomorka , sys przyciski , sys wyswietlacz , sys liczydlo , sys podajnik , sys controller , this thread motion , this thread deal , this thread give , this thread view , this thread money , this thread buttons , sys main proccesor , main processor ram","motion out , bus access , wcisnieto out , bus access , wiadomosc in , bus access , sum of money out , reszta in , bus access , wysun produkt in , bus access , sum of money in , reszta out , wiadomosc out , wysun produkt out , wcisnieto in , motion in , motion in , motion out , button in , message out , wysun out , reszta out , sum in , motion in , wysun in , reszta in , wysun out , reszta out , message in , message out , sum in , sum out , button in , button out , bus access","this thread motion.motion out > this thread deal.motion in , this thread deal.message out > this thread view.message in , this thread deal.wysun out > this thread give.wysun in , this thread deal.reszta out > this thread give.reszta in , this thread money.sum out > this thread deal.sum in , this thread buttons.button out > this thread deal.button in , sys bus > sys fotokomorka.bus access , sys bus > sys przyciski.bus access , sys bus > sys wyswietlacz.bus access , sys bus > sys liczydlo.bus access , sys bus > sys podajnik.bus access , sys bus > sys main proccesor.bus access , sys fotokomorka.motion out > sys controller.this thread motion.motion in , sys przyciski.wcisnieto out > sys controller.this thread buttons.button in , sys liczydlo.sum of money out > sys controller.this thread money.sum in , sys controller.this thread give.wysun out > sys podajnik.wysun produkt in , sys controller.this thread give.reszta out > sys liczydlo.reszta in , sys controller.this thread view.message out > sys wyswietlacz.wiadomosc in"
architecture marspathfinder pt system simple 1,"main , a data , ordo bus , donnees , pilotage , radio , camera , mesure , meteo , cpu","share , share , share , share","a data > meteo.share , a data > donnees.share , a data > pilotage.share , a data > mesure.share"
fees board stm32 stm32l476 discovery 1,"i2c 1 , i2c 2 , i2c 3 , serial , flash , ram , cpu","i2c link 1 , i2c link 2 , i2c link 3 , serial link , scl , sda , scl , sda , scl , sda","i2c link 1 > i2c 1 , i2c link 2 > i2c 2 , i2c link 3 > i2c 3 , serial link > serial , i2c 1 > i2c link 1 , i2c 2 > i2c link 2 , i2c 3 > i2c link 3 , serial > serial link"
fees fees fees 1,"lightsensor , board , i2c 1 , i2c 2 , i2c 3 , serial , flash , ram , cpu","i2c , i2c link 1 , i2c link 2 , i2c link 3 , serial link , scl , sda , scl , sda , scl , sda","lightsensor.i2c > board.i2c 1 , board.i2c 1 > lightsensor.i2c"
ils project ils ils 1,"ils process , frequency selection , providing deviation data","tp , mp , tunefunctestinhibit , functestinput , freqfuncdatasourceselect , airgroundlogic , audiodistributionsystem , locgsinterrupt , a429 out 1 , bus1 , a429 in 1 , bus1 , a429 out 2 , bus2 , a429 in 2 , bus2 , sdi , sdi in 1 , sdi in 2 , sdi in common , controlpanelspare , suggestedspare 1 , suggestedspare 2 , controlpanelpower , bp , bp1 , bp2 , bp3 , bp4 , bp5 , frequency data input porta , frequency data input portb , loc signal input , glide signal input , frequency data output port1 , frequency data output port2 , loc data output , glide data output , frequency data input , frequency data output , loc signal input , glide signal input , loc data output , glide data output","bp.bp1 > ils process.providing deviation data.loc signal input , bp.bp5 > ils process.providing deviation data.glide signal input , ils process.frequency selection.frequency data output > mp.a429 out 1.bus1 , ils process.frequency selection.frequency data output > mp.a429 out 2.bus2 , ils process.providing deviation data.loc data output > mp.a429 out 1.bus1 , ils process.providing deviation data.glide data output > mp.a429 out 1.bus1"
model bankomat atmsystem with devices 1,"this bus , this czytnik kart , this modul gotowkowy , this drukarka , this sejf , this klawiatura , this wyswietlacz , this modul lacznosci , this controller , this read card insert , this read modul input , this sejf thread , this klawiatura thread , this obraz output , this drukarka out , this lacznosc thread , this processor , this memory","wlozono karte , zatrzymaj karte , bus access , pobierz gotowke , gotowka pobrana , bus access , drukuj , bus access , umieszczono gotowke , wydaj gotowke , bus access , key input , bus access , obraz input , bus access , dane karty , dane konta , bus access , key input , obraz out , drukarka out , dane karty out , dane konta in , czytnik in , sejf in , czytnik out , sejf out , modul gotowkowy in , modul gotowkowy out , czytnik in , czytnik out , modul in , modul out , sejf in , sejf out , keyboard in , obraz out , drukarka out , dane konta in , dane karty out , bus access","this bus > this czytnik kart.bus access , this bus > this modul gotowkowy.bus access , this bus > this drukarka.bus access , this bus > this sejf.bus access , this bus > this klawiatura.bus access , this bus > this wyswietlacz.bus access , this bus > this processor.bus access , this bus > this modul lacznosci.bus access , this czytnik kart.wlozono karte > this controller.this read card insert.czytnik in , this modul gotowkowy.gotowka pobrana > this controller.this read modul input.modul in , this sejf.umieszczono gotowke > this controller.this sejf thread.sejf in , this klawiatura.key input > this controller.this klawiatura thread.keyboard in , this modul lacznosci.dane konta > this controller.this lacznosc thread.dane konta in , this controller.this read card insert.czytnik out > this czytnik kart.zatrzymaj karte , this controller.this read modul input.modul out > this modul gotowkowy.pobierz gotowke , this controller.this sejf thread.sejf out > this sejf.wydaj gotowke , this controller.this obraz output.obraz out > this wyswietlacz.obraz input , this controller.this drukarka out.drukarka out > this drukarka.drukuj , this controller.this lacznosc thread.dane karty out > this modul lacznosci.dane karty"
raspberry smacz humanactivitymonitoringsystem 1,"pi bus , i2c , gpios bus , operating sys , imu n , imu f , screen controller , screen , alarm , brba , brbb , brbc , brbd , sw pow , sw rec , gpios , terminal , pi ram , pi card , daemon process , mainloop , interrupts , record process , mainloop , interrupts , screenwriter , export process , mainloop , predict process , mainloop , pi cpu 1 , pi cpu 2","sig1 , sig2 , sig3 , sig4 , sig5 , ba1 , accelerometeroutput , gyroscopeoutput , magnetometeroutput , generaloutput , samplingsettings , ba1 , accelerometeroutput , gyroscopeoutput , magnetometeroutput , generaloutput , samplingsettings , ba1 , input1 , input2 , ba1 , ba1 , togglealarm , ba1 , state , ba1 , state , ba1 , state , ba1 , state , ba1 , state , ba1 , state , ba1 , output , a , b , c , d , rec , pow , ba1 , input , ba1 , ba1 , gpioinput , screenoutput , signal , gpioinput , screenoutput , signal , gpioinput , signal , screenoutput , imu n input , imu f input , gpioinput , signal , screenoutput , binaryoutput , imu n input , imu f input , gpioinput , signal , screenwriteroutput , binaryoutput , gpioinput , signal , whattowrite , screenoutput , binaryinput , csvoutput , signal , binaryinput , csvoutput , signal , binaryinput , alarmport , signal , binaryinput , alarmport , signal , ba1 , ba1","mainloop.screenwriteroutput > screenwriter.whattowrite , pi bus > pi cpu 1.ba1 , pi bus > pi cpu 2.ba1 , pi bus > pi ram.ba1 , pi bus > pi card.ba1 , i2c > imu n.ba1 , i2c > imu f.ba1 , i2c > screen controller.ba1 , i2c > screen.ba1 , gpios bus > gpios.ba1 , gpios bus > brba.ba1 , gpios bus > brbb.ba1 , gpios bus > brbc.ba1 , gpios bus > brbd.ba1 , gpios bus > sw pow.ba1 , gpios bus > sw rec.ba1 , gpios bus > alarm.ba1 , imu n.generaloutput > record process.mainloop.imu n input , imu n.ba1 > i2c , imu f.generaloutput > record process.mainloop.imu f input , imu f.ba1 > i2c , screen controller.ba1 > i2c , screen.ba1 > i2c , alarm.ba1 > gpios bus , brba.state > gpios.a , brba.ba1 > gpios bus , brbb.state > gpios.b , brbb.ba1 > gpios bus , brbc.state > gpios.c , brbc.ba1 > gpios bus , brbd.state > gpios.d , brbd.ba1 > gpios bus , sw pow.state > gpios.pow , sw pow.ba1 > gpios bus , sw rec.state > gpios.rec , sw rec.ba1 > gpios bus , gpios.output > daemon process.mainloop.gpioinput , gpios.output > daemon process.interrupts.gpioinput , gpios.output > record process.mainloop.gpioinput , gpios.output > record process.interrupts.gpioinput , gpios.ba1 > gpios bus , pi ram.ba1 > pi bus , pi card.ba1 > pi bus , daemon process.mainloop.screenoutput > screen controller.input1 , daemon process.mainloop.signal > operating sys.sig1 , daemon process.interrupts.signal > operating sys.sig1 , daemon process.interrupts.screenoutput > screen controller.input1 , record process.mainloop.signal > operating sys.sig2 , record process.mainloop.binaryoutput > export process.mainloop.binaryinput , record process.mainloop.binaryoutput > predict process.mainloop.binaryinput , record process.interrupts.signal > operating sys.sig2 , record process.screenwriter.screenoutput > screen controller.input2 , export process.mainloop.csvoutput > terminal.input , export process.mainloop.signal > operating sys.sig3 , predict process.mainloop.alarmport > alarm.togglealarm , predict process.mainloop.signal > operating sys.sig4 , pi cpu 1.ba1 > pi bus , pi cpu 2.ba1 > pi bus"
aaspe automotive system car cherokee 1,"can ihs , can c , wifi , radio , hvac , amplifier , bcm , hsm , abs , acc , eps , epb","cellular access , wifi access , can ihs socket , can c socket , wifi access , cellular access , can socket , can socket , can socket , can socket , can socket , can socket , can socket , can socket","cellular access > radio.cellular access , wifi access > wifi , can ihs > radio.can ihs socket , can ihs > hvac.can socket , can ihs > amplifier.can socket , can ihs > bcm.can socket , can ihs > hsm.can socket , can c > radio.can c socket , can c > abs.can socket , can c > acc.can socket , can c > eps.can socket , can c > epb.can socket , wifi > radio.wifi access , wifi > wifi access , radio.can ihs socket > can ihs , radio.can c socket > can c , radio.wifi access > wifi , radio.cellular access > cellular access , hvac.can socket > can ihs , amplifier.can socket > can ihs , bcm.can socket > can ihs , hsm.can socket > can ihs , abs.can socket > can c , acc.can socket > can c , eps.can socket > can c , epb.can socket > can c"
aaspe automotive system integration attack 1,"cellular , internet , router cel , car , can ihs , can c , wifi , radio , hvac , amplifier , bcm , hsm , abs , acc , eps , epb , attacker cel , attacker wifi , attacker internet","socket , internet , cellular access , wifi access , can ihs socket , can c socket , wifi access , cellular access , can socket , can socket , can socket , can socket , can socket , can socket , can socket , can socket , connection , connection , connection","can ihs > radio.can ihs socket , can ihs > hvac.can socket , can ihs > amplifier.can socket , can ihs > bcm.can socket , can ihs > hsm.can socket , can c > radio.can c socket , can c > abs.can socket , can c > acc.can socket , can c > eps.can socket , can c > epb.can socket , wifi > radio.wifi access , radio.can ihs socket > can ihs , radio.can c socket > can c , radio.wifi access > wifi , hvac.can socket > can ihs , amplifier.can socket > can ihs , bcm.can socket > can ihs , hsm.can socket > can ihs , abs.can socket > can c , acc.can socket > can c , eps.can socket > can c , epb.can socket > can c , cellular > car.radio.cellular access , cellular > router cel.socket , cellular > attacker cel.connection , internet > router cel.internet , internet > attacker internet.connection , router cel.socket > cellular , router cel.internet > internet , car.wifi > attacker wifi.connection , car.radio.cellular access > cellular , attacker cel.connection > cellular , attacker wifi.connection > car.wifi , attacker internet.connection > internet"
aaspe automotive system integration i 1,"cellular , internet , router cel , car , can ihs , can c , wifi , radio , hvac , amplifier , bcm , hsm , abs , acc , eps , epb","socket , internet , cellular access , wifi access , can ihs socket , can c socket , wifi access , cellular access , can socket , can socket , can socket , can socket , can socket , can socket , can socket , can socket","can ihs > radio.can ihs socket , can ihs > hvac.can socket , can ihs > amplifier.can socket , can ihs > bcm.can socket , can ihs > hsm.can socket , can c > radio.can c socket , can c > abs.can socket , can c > acc.can socket , can c > eps.can socket , can c > epb.can socket , wifi > radio.wifi access , radio.can ihs socket > can ihs , radio.can c socket > can c , radio.wifi access > wifi , hvac.can socket > can ihs , amplifier.can socket > can ihs , bcm.can socket > can ihs , hsm.can socket > can ihs , abs.can socket > can c , acc.can socket > can c , eps.can socket > can c , epb.can socket > can c , cellular > car.radio.cellular access , cellular > router cel.socket , internet > router cel.internet , router cel.socket > cellular , router cel.internet > internet , car.radio.cellular access > cellular"
aaspe security cwe131 main correct 1,"s , r","e , e",s.e > r.e
aaspe security cwe131 main incorrect 1,"s , r","e , e",s.e > r.e
aaspe security cwe131 main i 1,"s , r","e , e",s.e > r.e
aaspe security cwe311 main failure1 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe311 main i 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe311 main success1 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe311 main success2 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe362 main correct 1,"d , d1 , d2","d , d","d > d1.d , d > d2.d , d1.d > d , d2.d > d"
aaspe security cwe362 main incorrect 1,"d , d1 , d2","d , d","d > d1.d , d > d2.d , d1.d > d , d2.d > d"
aaspe security cwe362 main i 1,"d , d1 , d2","d , d","d > d1.d , d > d2.d , d1.d > d , d2.d > d"
aaspe security cwe805 main failure array 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe805 main failure float 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe805 main failure int 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe805 main success array 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe805 main success float 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security cwe805 main success int 1,"s , r","dataout , datain",s.dataout > r.datain
aaspe security r0 main correct 1,"b , s , r","mybus , mybus","b > s.mybus , b > r.mybus , s.mybus > b , r.mybus > b"
aaspe security r0 main incorrect 1,"b , s , r","mybus , mybus","b > s.mybus , b > r.mybus , s.mybus > b , r.mybus > b"
aaspe security r0 main i 1,"b , s , r","mybus , mybus","b > s.mybus , b > r.mybus , s.mybus > b , r.mybus > b"
aaspe security r1 main correct 1,"s , r","outfeat , infeat",s.outfeat > r.infeat
aaspe security r1 main incorrect 1,"s , r","outfeat , infeat",s.outfeat > r.infeat
aaspe security r1 main i 1,"s , r","outfeat , infeat",s.outfeat > r.infeat
aaspe security r5 main correct 1,pr,"f1 , f2",
aaspe security r5 main incorrect1 1,pr,"f1 , f2",
aaspe security r5 main incorrect2 1,pr,"f1 , f2",
aaspe security r5 main incorrect3 1,pr,"f1 , f2",
aaspe security r5 main incorrect4 1,pr,"f1 , f2",
aaspe security r5 main i 1,pr,"f1 , f2",
aaspe security r6 main correct 1,"b1 , b2 , s , i , r","mybus , mybus1 , mybus2 , mybus","b1 > s.mybus , b1 > i.mybus1 , b2 > i.mybus2 , b2 > r.mybus , s.mybus > b1 , i.mybus1 > b1 , i.mybus2 > b2 , r.mybus > b2"
aaspe security r6 main incorrect 1,"b1 , b2 , s , i , r","mybus , mybus1 , mybus2 , mybus","b1 > s.mybus , b1 > i.mybus1 , b2 > i.mybus2 , b2 > r.mybus , s.mybus > b1 , i.mybus1 > b1 , i.mybus2 > b2 , r.mybus > b2"
aaspe security r6 main i 1,"b1 , b2 , s , i , r","mybus , mybus1 , mybus2 , mybus","b1 > s.mybus , b1 > i.mybus1 , b2 > i.mybus2 , b2 > r.mybus , s.mybus > b1 , i.mybus1 > b1 , i.mybus2 > b2 , r.mybus > b2"
aaspe security r7 integration fail1 1,"thebus1 , thebus2 , sender , intermediate , receiver","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security r7 integration fail2 1,"thebus1 , thebus2 , sender , intermediate , receiver , http1 , http0","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security r7 integration fail3 1,"thebus1 , thebus2 , sender , intermediate , receiver , http1 , http0","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security r7 integration i 1,"thebus1 , thebus2 , sender , intermediate , receiver","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security r7 integration success1 1,"thebus1 , thebus2 , sender , intermediate , receiver , http1 , ssl1 , http0 , ssl0","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security r7 integration success2 1,"thebus1 , thebus2 , sender , intermediate , receiver , ssl1 , ssl0","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security r7 integration success4 1,"thebus1 , thebus2 , sender , intermediate , receiver","dataout , datain , dataout , datain","sender.dataout > intermediate.datain , intermediate.dataout > receiver.datain"
aaspe security timing requirements main correct 1,"s , r","e , e",s.e > r.e
aaspe security timing requirements main incorrect 1,"s , r","e , e",s.e > r.e
aaspe security timing requirements main i 1,"s , r","e , e",s.e > r.e
aaspe sel4 bb serial main beaglebone 1,"serial , boo , thr , cpu , runtime boo , runtime serial","datain , dataout , datain , dataout , datain , dataout , uart1 mem , serial mem","serial.dataout > boo.thr.datain , boo.thr.dataout > serial.datain , cpu.uart1 mem > runtime serial.serial mem , runtime serial.serial mem > cpu.uart1 mem"
aaspe sel4 ping pong event ping beaglebone 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong event ping 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong event ping kzm 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong event ping x86 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong ping beaglebone 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong ping 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong ping kzm 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
aaspe sel4 ping pong ping x86 1,"prod , pinger , cons , ping me , cpu , runtime prod , runtime cons","out port , data source , in port , data sink",prod.pinger.data source > cons.ping me.data sink
adiru adiru adiru 1,"afdx network , vl1 , vl2 , vl3 , vl4 , vl5 , vl6 , cdu , temperature sensor rdc , pitot static sensor rdc , mem , irmem , adrmem , module ir , ir memory , ir process , ir thread , cpu , partition ir , module adr , adr memory , irmem , adrmem , adr process , adr thread , cpu , partition adr , fmc","indicated aoa , on off cdu , ad on off cdu , ir off cmd , m1 disc output , m2 disc output , latitude , longitude , magnetic heading , tot temp , static air temp , afdx access , true airspeed , tot pressure , ground speed , indicated aoa , afdx access , afdx access , altitude in , true airspeed in , inertial altitude out , inertial vs out , present pos lat out , present pos long out , ground speed out , track angle true d , magnetic heading , wind speed d , wind direction true d , true heading d , body pitch acc out , body roll acc out , body yaw acc out , set latitude in , set longitude in , set magnetic heading in , m1 disc , m2 disc , altitude in , true airspeed in , inertial altitude out , inertial vs out , present pos lat out , present pos long out , ground speed out , track angle true d , magnetic heading , wind speed d , wind direction true d , true heading d , body pitch acc out , body roll acc out , body yaw acc out , set latitude , set longitude , set magnetic heading , th altitude , th true airspeed , th inertial altitude , th inertial vs , th present pos lat , th present pos long , th ground speed , th track angle true d , th magnetic heading , th wind speed d , th wind direction true d , th true heading d , th body pitch acc , th body roll acc , th body yaw acc , th set latitude , th set longitude , th set magnetic heading , afdx access , altitude , mach , altitude rate , tat , indicated aoa , baro corr altitude1 , baro corr altitude2 , computed air speed , true airspeed , ground speed , sat , impact pressure , tot pressure , corrected aoa , discrete word1 , discrete word2 , altitude , mach , altitude rate , tat , indicated aoa , baro corr altitude1 , baro corr altitude2 , computed air speed , true airspeed , ground speed , sat , impact pressure , tot pressure , corrected aoa , discrete word1 , discrete word2 , altitude , mach , altitude rate , tat , indicated aoa , baro corr altitude1 , baro corr altitude2 , computed air speed , true airspeed , sat , impact pressure , tot pressure , corrected aoa , discrete word1 , discrete word2 , present pos lat in , present pos long in , ground speed in , track angle true d , wind speed d","afdx network > module ir.afdx access , afdx network > module adr.afdx access , afdx network > pitot static sensor rdc.afdx access , afdx network > temperature sensor rdc.afdx access , cdu.m1 disc output > module ir.m1 disc , cdu.latitude > module ir.ir process.ir thread.th set latitude , cdu.longitude > module ir.ir process.ir thread.th set longitude , cdu.magnetic heading > module ir.ir process.ir thread.th set magnetic heading , temperature sensor rdc.tot temp > module adr.adr process.tat , temperature sensor rdc.static air temp > module adr.sat , pitot static sensor rdc.true airspeed > module adr.true airspeed , pitot static sensor rdc.tot pressure > module adr.tot pressure , pitot static sensor rdc.ground speed > module adr.ground speed , pitot static sensor rdc.indicated aoa > module adr.indicated aoa , module ir.ir process.ir thread.th present pos lat > fmc.present pos lat in , module ir.ir process.ir thread.th present pos long > fmc.present pos long in , module ir.ir process.ir thread.th ground speed > fmc.ground speed in , module ir.ir process.ir thread.th track angle true d > fmc.track angle true d , module ir.ir process.ir thread.th wind speed d > fmc.wind speed d , module adr.adr process.adr thread.altitude > module ir.ir process.ir thread.th altitude , module adr.adr process.adr thread.indicated aoa > cdu.indicated aoa , module adr.adr process.adr thread.true airspeed > module ir.ir process.ir thread.th true airspeed"
adiru subsystem adr system 1,"adr memory , irmem , adrmem , adr process , adr thread , cpu , partition adr","afdx access , altitude , mach , altitude rate , tat , indicated aoa , baro corr altitude1 , baro corr altitude2 , computed air speed , true airspeed , ground speed , sat , impact pressure , tot pressure , corrected aoa , discrete word1 , discrete word2 , altitude , mach , altitude rate , tat , indicated aoa , baro corr altitude1 , baro corr altitude2 , computed air speed , true airspeed , ground speed , sat , impact pressure , tot pressure , corrected aoa , discrete word1 , discrete word2 , altitude , mach , altitude rate , tat , indicated aoa , baro corr altitude1 , baro corr altitude2 , computed air speed , true airspeed , sat , impact pressure , tot pressure , corrected aoa , discrete word1 , discrete word2","tat > adr process.tat , adr process.ground speed > ground speed , adr process.adr thread.altitude > altitude , adr process.adr thread.mach > mach , adr process.adr thread.altitude rate > altitude rate , adr process.adr thread.indicated aoa > indicated aoa , adr process.adr thread.baro corr altitude1 > baro corr altitude1 , adr process.adr thread.baro corr altitude2 > baro corr altitude2 , adr process.adr thread.computed air speed > computed air speed , adr process.adr thread.true airspeed > true airspeed , adr process.adr thread.sat > sat , adr process.adr thread.impact pressure > impact pressure , adr process.adr thread.tot pressure > tot pressure , adr process.adr thread.corrected aoa > corrected aoa , adr process.adr thread.discrete word1 > discrete word1 , adr process.adr thread.discrete word2 > discrete word2"
