Model,Cluster,Component,Feature
qa ksu isolette thermostat dual sensor,5,detect regulator fail detect monitor fail regulate temperature manage regulator interface manage heat source manage regulator mode monitor temperature manage alarm manage monitor interface manage monitor mode,control temp monitor temp heat control lower desired temperature upper desired temperature lower alarm temperature upper alarm temperature regulator status monitor status display temperature alarm internal failure internal failure lower desired temperature upper desired temperature regulator status displayed temp current temperature heat control regulator status lower desired temp upper desired temp current temperature displayed temp regulator mode interface failure heat control current temperature lower desired temperature upper desired temperature regulator mode regulator mode current temperature interface failure internal failure current temperature lower alarm temperature upper alarm temperature alarm monitor status regulator failure monitor failure alarm control monitor mode lower alarm temperature upper alarm temperature current temperature alarm range current temperature monitor mode upper alarm temperature lower alarm temperature monitor status interface failure monitor mode interface failure internal failure current temperature
qa ksu isolette thermostat single sensor,4,detect regulator fail detect monitor fail regulate temperature manage regulator interface manage heat source manage regulator mode monitor temperature manage alarm manage monitor interface manage monitor mode,current temperature heat control lower desired temperature upper desired temperature lower alarm temperature upper alarm temperature regulator status monitor status display temperature alarm internal failure internal failure lower desired temperature upper desired temperature regulator status displayed temp current temperature heat control regulator status lower desired temp upper desired temp current temperature displayed temp regulator mode interface failure heat control current temperature lower desired temperature upper desired temperature regulator mode regulator mode current temperature interface failure internal failure current temperature lower alarm temperature upper alarm temperature alarm monitor status regulator failure monitor failure alarm control monitor mode lower alarm temperature upper alarm temperature current temperature alarm range current temperature monitor mode upper alarm temperature lower alarm temperature monitor status interface failure monitor mode interface failure internal failure current temperature
qa nameresolution top,2,sys,tin pin
qa nursery room normal operation,4,aninfant anurse anincubator temperature sensor heat source thermostat detect regulator fail detect monitor fail regulate temperature manage regulator interface manage heat source manage regulator mode monitor temperature manage alarm manage monitor interface manage monitor mode operator interface theair,heat loss air interaction control monitor alarm heat control monitor alarm air temperature air current temperature heat control heat current temperature heat control lower desired temperature upper desired temperature lower alarm temperature upper alarm temperature regulator status monitor status display temperature alarm internal failure internal failure lower desired temperature upper desired temperature regulator status displayed temp current temperature heat control regulator status lower desired temp upper desired temp current temperature displayed temp regulator mode interface failure heat control current temperature lower desired temperature upper desired temperature regulator mode regulator mode current temperature interface failure internal failure current temperature lower alarm temperature upper alarm temperature alarm monitor status regulator failure monitor failure alarm control monitor mode lower alarm temperature upper alarm temperature current temperature alarm range current temperature monitor mode upper alarm temperature lower alarm temperature monitor status interface failure monitor mode interface failure internal failure current temperature control monitor alarm lower desired temperature upper desired temperature lower alarm temperature upper alarm temperature regulator status monitor status display temperature alarm heat heat infant interaction air temperature
qa implementation tc,10,myprogsubc,outdataport outeventport ineventport
qa test,10,s1 s2,f f
qa test blackboard root,36,mem proc sender receiver cpu part,p p
qa test package refined isolated test impl,21,bus comp proc,bus access
qa test package refined test impl,21,bus comp proc,bus access
qa test package refined test impl,21,bus comp proc,bus access
qa test package refined test impl,21,bus comp proc,bus access
qa test package refined test impl,21,bus comp proc,bus access
qa test package refined test impl,21,bus comp proc,bus access
self driving car integration integration functional,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel image analysis distance voter overtaking detection speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd
self driving car integration integration functional,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd
self driving car integration integration functional,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd
self driving car integration integration functional,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd
self driving car integration integration hardware,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller cpu cpu,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd socket socket socket socket
self driving car integration integration hardware,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller cpu cpu,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd socket socket socket socket
self driving car integration integration hardware,40,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller cpu cpu,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd socket socket socket socket
shutter smartshutter smartshuttersystem,4,eth hwc remoteactiondispatcher server shutterengine shuttercontroller ram servercontroller serverthread shutterlogiccontroller logicthread transformthread shutterenginecontroller enginethread cpu,server action dispatch bus access server action dispatch server action receive bus access hwc access engine action receive engine state action dispatch action receive engine state receive bus access hwcaccess receive remote data send remote data data data receive remote data receive engine state data send engine state data send remote data data data action data engine state action data engine state receive engine state send current engine state data data ethernetaccess hwcaccess
smartparkingapplication informationserviceprovider isp,21,sub hw bus sub tic collection,bus access
smartparkingapplication rse rseowner,44,rse electricchargesupportprovider rse workzonesafetyprovider rse travelinformationcommunicationprovider rse trafficmeteringprovider rse speedmanagementprovider,rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data
smartparkingapplication smartparkingsystem tispsys,13,sub driver sub hardwarecomm sub vehicleobe sub roadsideobe sub parkingmanager sub rse electricchargesupportprovider sub rse workzonesafetyprovider sub rse travelinformationcommunicationprovider sub rse trafficmeteringprovider sub rse speedmanagementprovider sub tic collection,signal signal signal driverinfo input driverout signal parking data received signal parking data received signal signal rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data bus access
sysml pilot flying pilot flying pilot flying,22,lr l pfsl riseospf risets rl r pfsl riseospf risets,lpfs rpfs t ospf pfs t pfs riseospf risets ospf pfs t pfs riseospf risets
sysml pilot flying side side,22,pfsl riseospf risets,ospf pfs t pfs riseospf risets
translator device test abstract device illegal port name device test abstract device illegal port name,13,d1,status
translator device test abstract device missing data type responder device test abstract device missing data type responder,13,d1,status re
translator device test abstract device missing port device test abstract device missing port,13,d1,status re
translator noninpulseox noninpulseox,13,pulseox,status req status re spo alert limit pub spo metric sponum req spo metric sponum re dummy num spo metric sponum pub spo metric sponumalt req spo metric sponumalt re spo metric sponumalt pub spo metric alert limit pub
translator pulseox forwarding bidirectional pulseox forwarding bidirectional imp,42,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo derivedalarm alarm spo derivedalarm spo alarm
translator pulseox forwarding devtodev pulseox forwarding devtodev imp,42,pulseox poconsumer applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo spo derivedalarm alarm spo derivedalarm spo alarm
translator pulseox forwarding duplicate pulseox forwarding duplicate imp,42,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo derivedalarm alarm spo derivedalarm spo alarm
translator pulseox forwarding pulseox forwarding imp,42,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,typelessspo spo derivedalarm alarm spo derivedalarm spo alarm
translator pulseox forwarding pulseox forwarding imp,42,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo derivedalarm alarm spo derivedalarm spo alarm
translator pulseox incdataport pulseox forwarding imp,42,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,wrong spo spo derivedalarm alarm spo derivedalarm spo alarm
translator simplecapnograph simplecapnograph,13,capnograph,status re status re etco metric etconum re etco metric etconum re etco metric etconum pub prescriptiondosesettings setting loadingbolus rec prescriptiondosesettings setting loadingbolus rec stop action command exec stop action command exec
translator simplepca simplepca,13,pcapump,status req status re prescriptiondosesettings setting loadingbolus req prescriptiondosesettings setting loadingbolus re prescriptiondosesettings setting loadingbolus sen prescriptiondosesettings setting loadingbolus rcv prescriptiondosesettings setting bolusdose req prescriptiondosesettings setting bolusdose re prescriptiondosesettings setting lockoutinterval req prescriptiondosesettings setting lockoutinterval re prescriptiondruginfosettings setting drugconcentration re prescriptiondruginfosettings setting drugconcentration req drugname setting prescriptiondruginfosettings req drugname setting prescriptiondruginfosettings re prescriptiondruginfosettings setting druginitialvolume req prescriptiondruginfosettings setting druginitialvolume re adminsession setting setting infusedvolumestatus req adminsession setting setting infusedvolumestatus re statussettings status lockouttimerstatus req statussettings status lockouttimerstatus re statussettings status lockouttimerstatus pub statussettings status operationalstatus req statussettings status operationalstatus re statussettings status operationalstatus pub stop action command act event alert warninglowreservoir pub event alert alarmemptyreservoir pub
tutorial syst securitysystem device,9,motion sensor magnetic alarm sensor camera alarm unit controller,motion detected alarm set video stream camera alarm video camera motion magnetic camera alarm
wobbuloscope wobbuloscope wobbuloscope,40,oscprobewire generatedsignalwire freqknobwire amplknobwire externalusb frequencyknob amplitudeknob testeddevice oscilloscopeprocess signalthread wobbulatorprocess controlthread signalthread oscilloscopefpga wobbulatorfpga freqknobproc amplknobproc,sampleoutput wobbulatorwaveformin level level signalin probedsignal deviceinput wobbulatorinput sampleout wobbulatorsignal devicesignal sampleout sampleinput frequencyknob amplitudeknob analogout frequency amplitude control control waveform generatedsignal usb dac adc adc usb dac adc adc wire wire
adiru adiru deos,44,mem accmem acc hmmem adirupmem shmmem acc pr acc acc acc acc acc acc acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor cpu part part part part,acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event accout acc command accout acc command accout acc command accout acc command accout acc command accout acc command acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command
adiru adiru emv,44,mem accmem acc hmmem adirupmem shmmem acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor cpu part part part part acc acc acc acc acc acc acc pr acc acc acc acc acc acc,acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command accdata accdata accdata accdata accdata accdata acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event acc input acc input acc input acc input acc input acc input accout acc command acc input accout acc command acc input accout acc command acc input accout acc command acc input accout acc command acc input accout acc command acc input
adiru adiru,44,mem accmem acc hmmem adirupmem shmmem acc pr acc acc acc acc acc acc acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor cpu part part part part,acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event accout acc command accout acc command accout acc command accout acc command accout acc command accout acc command acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command
adiru adiru vxworks,44,mem accmem acc hmmem adirupmem shmmem acc pr acc acc acc acc acc acc acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor cpu part part part part,acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event accout acc command accout acc command accout acc command accout acc command accout acc command accout acc command acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command
aocs aocs,40,dma obdh fss cs sps e mgm gyr str gps thu rw mgt central computer watchdog acf ocf tcp tmp fdr fr reconfig cpu,fss data power status fss reconfiguration dma cs data power status cs reconfiguration dma sps data power status sps reconfiguration dma e data power status e reconfiguration dma mgm data power status mgm reconfiguration dma gyr data power status gyr reconfiguration dma str data power status str reconfiguration dma gps data power status gps reconfiguration dma thu data power status thu reconfiguration dma rw data power status rw reconfiguration dma mgt data power status mgt reconfiguration dma telecommand telemetry obdh watchdog event anomaly detected sensored attitude sun direction reference torque reference force telecommand power status fss power status cs power status sps power status e power status mgm power status gyr power status str power status gps power status thu power status rw power status mgt telemetry fss reconfiguration cs reconfiguration sps reconfiguration e reconfiguration mgm reconfiguration gyr reconfiguration str reconfiguration gps reconfiguration thu reconfiguration rw reconfiguration mgt reconfiguration torque command force command forcing safe mode getting back normal mode force mode sm force mode nm watchdog event anomaly detected changing mode sm changing mode nm nominal attitude sensored attitude sun direction reference torque nominal orbit reference force telecommand nominal attitude nominal orbit power status fss power status cs power status sps power status e power status mgm power status gyr power status str power status gps power status tru power status rw power status mgt manoeuvre command attitude window check threshold force mode nm force mode sm torque command force command sensor data sensor data sensor data sensor data sensor data sensor data sensor data sensor data telemetry sensored attitude sun direction attitude window sensor data sensor data sensor data sensor data sensor data sensor data sensor data sensor data check threshold watchdog event anomaly detected reset reconfiguration command changing mode sm changing mode nm command fss reconfiguration cs reconfiguration sps reconfiguration e reconfiguration mgm reconfiguration gyr reconfiguration str reconfiguration gps reconfiguration thu reconfiguration rw reconfiguration mgt reconfiguration command torque command force command
arincexample arincsystem,19,rtbus module netif mainmemory mem mem mem process part process part cpu part part part module netif mainmemory mem mem process part thread part cpu part,thebus sensorout thebus sensorout thebus sensorin thebus sensorin sensorin
arincexample module,36,netif mainmemory mem mem mem process part process part cpu part part part,thebus sensorout thebus sensorout
arincexample module,36,netif mainmemory mem mem process part thread part cpu part,thebus sensorin thebus sensorin sensorin
autopilot subsys mcu,40,mem bus dev bus modem bus p dv dv compas dv v air dv cam dv emet dv gps dv ir dv ram n c proc ap data channel data data data data data data data data data ppm cpt satus nb err vsupply data acq filt th alt ctrl th nav th climb ctrl th stab th send mcu th send grd station th interrupt spi th interrupt spi th interrupt modem th interrupt gps th ctrl rc th proc,spi con mcu input mcu output p output dev bus output dev bus compas output dev bus v air output dev bus video output dev bus video input trans data output video output trans data input modem bus dev bus gps output error output dev bus ir output error output dev bus mem bus ir input p input input compas input v air input mcu data input gps input trans mcu output trans sol output gps evt input gps output altitude desiree input montee desiree output gps data input altitude desiree output montee desiree input ir input mcu send output data output evt rec spi input data rec mcu output data send spi output evt send spi input data rec mcu output data send spi output data send spi input data rec mcu input data input data output gps input mem bus dev bus spi
avionicsbusmanagers avionicsbusmgr xps,36,eb l0 l1 l2 l3 bbc bcinit bcmgr mrt mrtinit mrtmgr mrt mrtinit mrtmgr mrt mrtinit mrtmgr cpu cpu cpu cpu cpu,ebus ebus ebus ebus mrttobcmsg mrttobcmsg mrttobcmsg initcomplete initcomplete mrttobcmsg mrttobcmsg mrttobcmsg rttobcmsg initcomplete initcomplete rttobcmsg rttobcmsg initcomplete initcomplete rttobcmsg rttobcmsg initcomplete initcomplete rttobcmsg ebus
block fpa block without runtime,4,datapart ctrlpart,bus access dataout dataout ctrlout ctrlin ctrlout
block fpa block runtime,5,datapart ctrlpart processing,bus access output dataout ctrlout ctrlin ctrlout bus access raw compressed
block memory management eight link,5,mm runtime,bus access cdmu link link link link link link link link bus access input bus access
block memory management two link,5,mm runtime,bus access cdmu link link bus access input bus access
block obc,5,computer computer,bus access rawdata rawdata rawdata rawdata rawdata rawdata rawdata rawdata compressed bus access fpadata fpadata fpadata fpadata fpadata fpadata fpadata compressed bus access fpadata fpadata fpadata fpadata fpadata fpadata fpadata compressed
car car,44,process t1 t2 process b t3 t4 t5 t6 process c t7 t8 t9 cpu cpu b cpu c,m1 m2 m1 m2 m1 m2 m3 m2 m1 m3 m3 m4 m3 m4
dm door management imp,6,door door lgs dp ocu fws ecam process door door door door mix,handle position closed latched locked swivel de arrest lock warn diff pres warn slide handle position closed latched locked swivel de arrest lock warn diff pres warn slide flight ground engine running emergency evacuation flight ground engine running emergency evacuation dp dp cll wrn door wrn door info door info door d1 handle position d1 closed d1 latched d1 locked d1 swivel d1 de arrest d1 lock d1 warn diff pres d1 warn slide d1 flight d1 ground d1 engine running d1 emergency evacuation d1 dp d1 warning info d1 ecam info d2 handle position d2 closed d2 latched d2 locked d2 swivel d2 de arrest d2 lock d2 warn diff pres d2 warn slide d2 flight d2 ground d2 engine running d2 emergency evacuation d2 warning info d2 ecam info d2 dp mix cll handle position closed latched locked swivel de arrest lock warn diff pres warn slide flight ground engine running emergency evacuation dp door locked warning info ecam info handle position closed latched locked swivel de arrest lock warn diff pres warn slide flight ground engine running emergency evacuation dp door locked warning info ecam info door door cll
emaxxv power distrib emaxxv power,39,vbat bus v5 bus v5 bus v bus vbatmotors bus u u odometer odometer receiver inertial gps telemeter camera ip router wifi variator motor reg 5v reg 5v reg v reg v bat v calc bat v motor,proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt portcom supply proc evt port port port port supply serial wire supply serial wire supply power power power power power power power power power power
emaxxv emaxxv,39,uart ipc bus ic bus timer bus arm usb bus uart bus ethernet bus ethernet bus u twi arm uart arm timer arm pwm arm uart arm uart arm usb arm ethernet arm u odometer odometer receiver inertial gps telemeter camera ip router wifi proc tm manager tc manager u manager odometer manager actuator manager proc cl manager se manager manager telemeter manager inertial gps manager camera ip manager cpu arm cpu arm,proc evt serial wire supply serial wire serial wire serial wire serial wire serial wire serial wire serial wire serial wire proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt serial wire supply proc evt portcom supply proc evt port port port port supply tm frame tc frame u evt u evt odometer evt odometer evt receiver evt u meas u meas compass meas odometer meas tm frame tc frame actuator cmd u meas u meas u evt u evt odometer meas odometer evt odometer evt actuator cmd receiver evt tc frame tm frame state estimation tc frame state estimation tm frame inertial gps meas telemeter meas decision decision camera ip meas telemeter meas inertial gps meas camera ip meas supply supply
flight control fcs,41,ic operator gps imu platform node ff nl nf pl pf fl ap cpu rm,po c ic position ic angle acc ic order ic po c order angle position acc angle angle po c po acc c po po acc c acc angle c acc acc angle c angle order position acc acc po ic
flowlatencydata application allperiodicdelayed,42,sense th actuate th compute tstep compute tstep compute tstep,db outed outed ined ined ined outed ined outed ined outed ined outed ined outed ined outed
flowlatencydata topsystem distributedallperiodicdelayed,42,db pb sense th actuate th compute tstep compute tstep compute tstep cpu,outed outed ined ined ined outed ined outed ined outed ined outed ined outed ined outed db pb
flowlatencysampleddata application alldatadriven,42,sense actuate compute tstep compute tstep compute tstep,db outed devbus ined devbus ined outed ined outed ined outed ined outed ined outed ined outed
flowlatencysampleddata application allperiodicsampled,42,sense actuate compute tstep compute tstep compute tstep,db outed devbus ined devbus ined outed ined outed ined outed ined outed ined outed ined outed
flowlatencysampleddata hardwareplatform dual,21,db cpubus cpu cpu,db db pb db pb
flowlatencysampleddata hardwareplatform single,21,db cpu,db db pb
flowlatencysampleddata topsystem alldatadriven,42,app sense actuate compute tstep compute tstep compute tstep hw db cpu,db outed devbus ined devbus ined outed ined outed ined outed ined outed ined outed ined outed db db pb
flowlatencysampleddata topsystem allperiodicsampled,42,app sense actuate compute tstep compute tstep compute tstep hw db cpu,db outed devbus ined devbus ined outed ined outed ined outed ined outed ined outed ined outed db db pb
flowlatencysampleddata topsystem distributedalldatadriven,42,app sense actuate compute tstep compute tstep compute tstep hw db cpubus cpu cpu,db outed devbus ined devbus ined outed ined outed ined outed ined outed ined outed ined outed db db pb db pb
flybywire subsys mcu,39,mem bus dev bus recpt dv cpt dv ser rudder dv ser elevator dv ser aileronl dv ser aileronr dv ser motorl dv ser motorr dv ram proc rcptcde pilotserv mode radio ok radio really lost mega ok rec dec th send th pilot serv th check ap th check fail th interrupt elevator th interrupt motorl th interrupt motorr th interrupt aileronl th interrupt aileronr th interrupt rudder th interrupt spi interrupt rc th mcu p,spi con rc evtdata input ap evtdata input mcu output rc input rc output rc evt output dev bus data elev input data aill input data ailr input data motorl input data motorr input data rudder input data elev output data aill output data ailr output data motorl output data motorr output data rudder output dev bus data input dev bus data input dev bus data input dev bus data input dev bus data input dev bus data input dev bus mem bus cde elevator output cde motorl output cde motorr output cde aileronl output cde aileronr output cde rudder output radio cdes input ap cdes input cdes vol output rc evt input mcu data input radio ok input radio really lost input mcu send output data output signal input data output signal input data output signal input data output signal input data output signal input data output signal input data rec mcu output evt rec spi input data send spi output evt send spi input ap evt output rc evt input mem bus dev bus spi
fm fm,41,bus afdx network vl vl vl vl vl vl keyboard display sensor rdc sw sw sw module mainmemory mem ku mem mfd ku ku mfd mfd cpu partition ku partition mfd module mainmemory mem fm fm fm cpu partition fm module mainmemory mem adiru adiru adiru cpu partition adiru module mainmemory mem ndb ndb ndb cpu partition ndb,ph req access ph disp access ph pres afdx access afdx access afdx access afdx access keyboard access display access afdx access ph req ph wpinfo ph eta ph wpid ph disp req apex wpid apex th req th wpid wpinfo apex eta apex disp apex th wpinfo th eta th disp afdx access ph wpid ph answer ph speed ph query ph wpinfo ph eta wpid apex query apex answer apex wpinfo apex speed apex eta apex th wpid th query th answer th wpinfo th speed th eta afdx access ph pres ph speed pres apex speed apex th pres th speed afdx access ph query ph answer query apex answer apex th query th answer
isr ticker,9,clock device driver isr ticker display ticker printer cpu,isr isr isr isr top
ardupilot ardupilot map,38,multiplexer spi spi atm flash memory sram eeprom flash memory sram eeprom esc battery aileron rc rx elevator motor process ardupilot pr gps pr mgmt pr throttle pr yaw ardupilot multiplexer spi spi atm flash memory sram eeprom flash memory sram eeprom,sport gpsport xy port z port bvolt si bv pres ctrl inv mux mux yled bled rbff vccled a1 b1 a2 b2 a3 b3 a4 b4 y1 y2 y3 y4 ab b gb miso mosi sclk s rst miso mosi sclk s rst pb pb pb pb pb pb pb pb pc pc pc pc pc pc pc pd pd pd pd pd pd pd pd gnd vcc aref avcc pb pb pb pb pb pb gnd vcc pin outm vin vout ail ch ch ch ch ch ch ele pin gps po gps po speed angle speed angle sport gpsport xy port z port bvolt si bv pres ctrl inv mux mux yled bled rbff vccled a1 b1 a2 b2 a3 b3 a4 b4 y1 y2 y3 y4 ab b gb miso mosi sclk s rst miso mosi sclk s rst pb pb pb pb pb pb pb pb pc pc pc pc pc pc pc pd pd pd pd pd pd pd pd gnd vcc aref avcc pb pb pb pb pb pb gnd vcc
ardupilot ardupilot shield,38,gps xyz shield,vin tx rx gnd pps x pin pin pin pin xy z v3 v5 ada gps xy z
mar pathfinder sys mar pathfinder correct,40,vme bus radio coupler camera altimeter accelerometer meterological sun sensor star analyser thruster valve memory pr psc data rw bus scheduling data distribution control task radio task camera task mesure task meteo task r,emission data reception data req access vme camera control emission data control data reception data image data measured data req access camera control image data req access vme measured data req access x z measured data req access measured data req access measured data req access measured data req access control data req access control data req access req access vme camera control emission data control data reception data image data measured data control data measured data req data rw req data rw reception data emission data image data camera control req data rw req data rw req access vme
mar pathfinder sys mar pathfinder,40,vme bus radio coupler camera altimeter accelerometer meterological sun sensor star analyser thruster valve memory pr psc data rw bus scheduling data distribution control task radio task camera task mesure task meteo task r,emission data reception data req access vme camera control emission data control data reception data image data measured data req access camera control image data req access vme measured data req access x z measured data req access measured data req access measured data req access measured data req access control data req access control data req access req access vme camera control emission data control data reception data image data measured data control data measured data req data rw req data rw reception data emission data image data camera control req data rw req data rw req access vme
minepump ba minepump,44,software waterlevelmonitoring thread methanemonitoring thread pumpctrl thread wateralarm thread hardware,wateralarm methanelevel wateralarm methanelevel waterlevel wateralarm
minepump minepump,44,software waterlevelmonitoring thread methanemonitoring thread pumpctrl thread wateralarm thread hardware,wateralarm methanelevel wateralarm methanelevel waterlevel wateralarm
minirocket minirocket,39,ic bus usb bus uart bus uart bus twi arm uart arm uart arm usb arm pressure inertial gps camera proc tm manager tc manager pressure manager cl manager se manager manager gps manager inertial manager camera manager cpu arm,serial wire serial wire serial wire serial wire proc evt serial wire proc evt serial wire proc evt serial wire proc evt serial wire supply tc frame tm frame pressure meas tm frame tc frame pressure meas state estimation tc frame state estimation tm frame gps meas inertial meas decision decision camera meas gps meas inertial meas camera meas supply
mixin demo,38,mix mix,port port port port
modevva modevva,36,proc mbx regulate display acquire cpu,mbx mbx
