Model,Cluster
modelagemaadl resourcebudgets dca tier,44
modelagemaadl resourcebudgets dca tier,44
modelagemaadl resourcebudgets dca tier,44
modelagemaadl resourcebudgets dca tier,44
modelagemaadl resourcebudgets dca tier,44
modelagemaadl resourcebudgets dcs dualtier,19
modelagemaadl resourcebudgets dcs dualtier,19
modelagemaadl resourcebudgets dcs dualtier,19
modelagemaadl resourcebudgets dcs singletier,18
modelagemaadl resourcebudgets dcs singletier,18
modelagemaadl resourcebudgets dcs singletier,18
modelagemaadl resourcebudgets dcs singletier,19
modelagemaadl resourcebudgets dcs singletier,19
modelagemaadl resourcebudgets dcs singletier,19
modelagemaadl resourcebudgets dcs singletier,19
modelagemaadl resourcebudgets dcs singletier,19
modelagemaadl resourcebudgets dcs singletier,19
modelagemaadl resourcebudgets mysystem tier,18
modelagemaadl resourcebudgets mysystem tier,18
modelagemaadl resourcebudgets mysystem tier,18
modelagemaadl resourcebudgets mysystem tier,19
modelagemaadl resourcebudgets mysystem tier,19
modelagemaadl resourcebudgets mysystem tier,19
modelagemaadl resourcebudgets platform dual,19
modelagemaadl resourcebudgets platform dual,19
modelagemaadl resourcebudgets platform dual,19
modelagemaadl resourcebudgets platform single,19
modelagemaadl resourcebudgets platform single,19
modelagemaadl resourcebudgets platform single,19
modelagemaadl resourcebudgets scs dualtier,19
modelagemaadl resourcebudgets scs dualtier,19
modelagemaadl resourcebudgets scs dualtier,19
modelagemaadl resourcebudgets scs tier,18
modelagemaadl resourcebudgets scs tier,18
modelagemaadl resourcebudgets scs tier,18
modelagemaadl resourcebudgets scs tier,19
modelagemaadl resourcebudgets scs tier,19
modelagemaadl resourcebudgets scs tier,19
modelagemaadl resourcebudgets scs tier,19
modelagemaadl resourcebudgets scs tier,19
modelagemaadl resourcebudgets scs tier,19
ocarina first,44
ocarina client server pkg client server others,17
ocarina flightcontrolsystem fcs,41
ocarina gps interface satellite others,43
ocarina hardware dual processor powerpc,21
ocarina model,40
ocarina p1 r1,17
ocarina p1 r2,17
ocarina pingpong,44
ocarina pingpong,36
ocarina producer consumer pc simple native,36
ocarina propvalue test imp,20
ocarina radar radar simple,40
ocarina rmaaadl rma erc,35
ocarina rmaaadl rma erc,35
ocarina rmaaadl rma erc,35
ocarina rmaaadl rma erc,35
ocarina rmaaadl rma erc,35
ocarina rmaaadl rma erc,35
ocarina rmaaadl rma,35
ocarina scenario producer consumer,12
ocarina shared shared,36
ocarina,5
ocarina e,32
ocarina,30
ocarina e,32
ocarina,30
ocarina,19
ocarina integrated,18
ocarina 15,26
ocarina,30
ocarina one,9
ocarina three,9
ocarina two,9
ocarina t9 t9,30
ocarina test real rma erc,35
ocarina test real rma erc,35
ocarina test real rma erc,35
ocarina test real rma erc,35
ocarina test real rma erc,35
ocarina testcomputeentrypoint,36
ocarina testfeaturegroup top,16
ocarina test 01 rma erc,35
ocarina test 01 rma erc,35
ocarina test xml connections,17
ocarina test xml output,32
ocarina test carext,44
ocarina test carrt,44
ocarina test cheddar deployment,36
ocarina test container,44
ocarina test mysystem,36
ocarina test node,36
ocarina test node,36
ocarina test order deployment,17
ocarina test s2,24
ocarina test spg test,29
ocarina test i2,24
ocarina test,20
ocarina s2,24
ocarina,24
ocarina validation mysystem local,36
ocarina vehicle root,43
ocarina vehicle vehicle standard,43
oqarina car car,44
oqarina rmaaadl rma,35
osate fta tests fault tree complete,38
osate fta tests fault tree complete,38
osate fta tests fault tree complete,38
osate fta tests fault tree complete,38
parkingproject parking parking simple,39
polyorb hi ada dextended probe native,27
polyorb hi ada dclocal delayed connections native,36
polyorb hi ada flowlatencysampleddata application allperiodicsampled,42
polyorb hi ada hw leon case study leon,27
polyorb hi ada hw leon local case study leon local,44
polyorb hi ada hw native case study native,27
polyorb hi ada radar radar simple,40
polyorb hi ada rmaaadl rma erc,35
polyorb hi ada sunseeker dist sunseekercontrolsystem type native,21
polyorb hi ada sunseeker local sunseekercontrolsystem type leon,35
polyorb hi ada sunseeker local sunseekercontrolsystem type leon gnat,35
polyorb hi ada demo demo,21
polyorb hi c cpp test cpp test,35
polyorb hi c cpp test cpp test rtems,35
polyorb hi c cpp test cpp test xenomai,35
polyorb hi c ping ping,36
polyorb hi c ping ping rtems,36
polyorb hi c ping ping xenomai,36
polyorb hi c ptest ptest,35
polyorb hi c ptest ptest rtems,35
polyorb hi c rmaaadl rma compcert,35
polyorb hi c rmaaadl rma,36
polyorb hi c rmaaadl rma,35
polyorb hi c rmaaadl rma,35
polyorb hi c rmaaadl rma,35
polyorb hi c rmaaadl rma,35
polyorb hi c rmaaadl rma rtems,35
polyorb hi c rmaaadl rma xenomai,35
polyorb hi c scenario cpptest,15
polyorb hi c scenario cpp,41
polyorb hi c scenario d3,32
polyorb hi c scenario d3,32
polyorb hi c scenario d3,32
polyorb hi c scenario d3,32
polyorb hi c scenario flight management,15
polyorb hi c scenario flight management,15
polyorb hi c scenario flight management,15
polyorb hi c scenario flight management,15
polyorb hi c scenario import,32
polyorb hi c scenario monitor,32
polyorb hi c scenario ping,28
polyorb hi c scenario ping 10,28
polyorb hi c scenario ping 11,28
polyorb hi c scenario ping 12,28
polyorb hi c scenario ping 13,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario ping,28
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario producer consumer,12
polyorb hi c scenario ptest,15
polyorb hi c scenario ptest rtems,15
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario rma,25
polyorb hi c scenario types,14
polyorb hi c scenario types,14
polyorb hi c scenario types,14
polyorb hi c scenario types,14
polyorb hi c scenario types,14
polyorb hi c scenario types,14
polyorb hi c scenario types,14
polyorb hi c scenario sunseeker,33
polyorb hi c scenario sunseeker,33
polyorb hi c scenario sunseeker,33
polyorb hi c scenario sunseeker,33
polyorb hi c scenario sunseeker,33
polyorb hi c scenario topsystem distributedallperiodicdelayed,17
polyorb hi c scenario topsystem distributedallperiodicdelayed,17
polyorb hi c scenario topsystem distributedallperiodicdelayed,17
polyorb hi c sunseeker dist sunseekercontrolsystem type dist,17
polyorb hi c sunseeker local sunseekercontrolsystem type local,35
polyorb hi c test lua lua,35
polyorb hi c torture torture,35
computer computer item,3
engine engine item,5
model model complete,16
model v2 model v2 complete,16
powerplants powerplants,16
powersupply powersupply item,16
switching switching item,17
voter voter item,17
se tp integration sys fla,40
se tp integration sys,40
se tp integration sys rta,40
se tp integration proxy sys rta,40
smart home arch clients clients,9
smart home arch maincontrolrouter maincontrolrouter,9
smart home arch remoteserver remoteserver,9
smart home arch smart home smart home,9
smarthome smart home arch appliances,38
smarthome smart home arch client tier,9
smarthome smart home arch home controller framework,9
smarthome smart home arch plugin,9
smarthome smart home arch sensor unit,38
smarthome smart home arch smarthome,38
smartthermostatsystem thermostat arch generator,10
smartthermostatsystem thermostat arch temp sensor,7
smartthermostatsystem thermostat arch thermostat controller,9
smartthermostatsystem thermostat arch thermostat,38
stereocamaadl streocamaadl vantsystem devices,39
tank pressurized fuse fuse,5
tank pressurized motor pump motor pump,5
tank pressurized pressureswitch pressureswitch,3
tank pressurized switch switch,3
tank pressurized sys tank rev sys tank pressurized complete,17
tank pressurized tank tank,3
tank pressurized valve valve,3
tcs abs models tractioncontrolsystem tcs,39
tempcontrolaadl scenario controllera imp,17
tempcontrolaadl scenario controllerb imp,17
tempcontrolaadl scenario labcontrol imp,39
ticketmachine aadlproject ticketmachine ticketmachinesystem devices,39
tpaadl lgs close ev,5
tpaadl lgs commutateuranalogique,9
tpaadl lgs digital part,10
tpaadl lgs electrovalvessystem,39
tpaadl lgs extend ev,5
tpaadl lgs lgssystem,39
tpaadl lgs open ev,5
tpaadl lgs retract ev,5
uav project lowlevelsubsystem lowlevelprocessing,41
using network drones inspect structural deformations basestation basestat,23
using network drones inspect structural deformations dm disastermanagementmain,23
using network drones inspect structural deformations es eventstreamingmain,23
using network drones inspect structural deformations uavnetwork v1 uavnetworkc,22
using network drones inspect structural deformations uavnetwork v2 uavnetworkc,22
using network drones inspect structural deformations uavnetwork v3 uavnetworkc,22
using network drones inspect structural deformations uavnode uavnodecomponent,13
using network drones inspect structural deformations uavnode vehicle uavvehicle,41
using network drones inspect structural deformations uav modelconstruction uav modelconstructionsystem,23
vending machine automat automatsystem devices,39
xdl open tool b b top imp,16
xdl open tool fpga library slicel imp,16
xdl open tool fpga library slicem imp,16
