Model,Component,Feature,ConnectionInstance
qa nameresolution top,sys,tin pin,tin syspin
qa nursery room normal operation,aninfant anurse anincubator temperature sensor heat source thermostat detect regulator fail detect monitor fail regulate temperature manage regulator interface manage heat source manage regulator mode monitor temperature manage alarm manage monitor interface manage monitor mode operator interface theair,heat loss air interaction control monitor alarm heat control monitor alarm air temperature air current temperature heat control heat current temperature heat control lower desired temperature upper desired temperature lower alarm temperature upper alarm temperature regulator status monitor status display temperature alarm internal failure internal failure lower desired temperature upper desired temperature regulator status displayed temp current temperature heat control regulator status lower desired temp upper desired temp current temperature displayed temp regulator mode interface failure heat control current temperature lower desired temperature upper desired temperature regulator mode regulator mode current temperature interface failure internal failure current temperature lower alarm temperature upper alarm temperature alarm monitor status regulator failure monitor failure alarm control monitor mode lower alarm temperature upper alarm temperature current temperature alarm range current temperature monitor mode upper alarm temperature lower alarm temperature monitor status interface failure monitor mode interface failure internal failure current temperature control monitor alarm lower desired temperature upper desired temperature lower alarm temperature upper alarm temperature regulator status monitor status display temperature alarm heat heat infant interaction air temperature,manage regulator interfaceinterface failure manage regulator modeinterface failure manage regulator moderegulator mode manage heat sourceregulator mode manage regulator moderegulator mode manage regulator interfaceregulator mode manage monitor interfaceinterface failure manage monitor modeinterface failure manage monitor modemonitor mode manage monitor interfacemonitor mode manage monitor modemonitor mode manage alarmmonitor mode detect regulator failinternal failure monitor temperaturemanage monitor modeinternal failure temperature sensorcurrent temperature thermostatmonitor temperaturemanage monitor interfacecurrent temperature temperature sensorcurrent temperature thermostatmonitor temperaturemanage alarmcurrent temperature temperature sensorcurrent temperature thermostatmonitor temperaturemanage monitor modecurrent temperature temperature sensorcurrent temperature thermostatregulate temperaturemanage regulator interfacecurrent temperature temperature sensorcurrent temperature thermostatregulate temperaturemanage heat sourcecurrent temperature temperature sensorcurrent temperature thermostatregulate temperaturemanage regulator modecurrent temperature thermostatregulate temperaturemanage regulator interfaceregulator status operator interfaceregulator status thermostatregulate temperaturemanage regulator interfacedisplayed temp operator interfacedisplay temperature thermostatregulate temperaturemanage heat sourceheat control heat sourceheat control thermostatmonitor temperaturemanage alarmalarm control operator interfacealarm thermostatmonitor temperaturemanage monitor interfacemonitor status operator interfacemonitor status operator interfacelower desired temperature thermostatregulate temperaturemanage regulator interfacelower desired temp operator interfacelower desired temperature thermostatregulate temperaturemanage heat sourcelower desired temperature operator interfaceupper desired temperature thermostatregulate temperaturemanage regulator interfaceupper desired temp operator interfaceupper desired temperature thermostatregulate temperaturemanage heat sourceupper desired temperature operator interfacelower alarm temperature thermostatmonitor temperaturemanage monitor interfacelower alarm temperature operator interfacelower alarm temperature thermostatmonitor temperaturemanage alarmlower alarm temperature operator interfaceupper alarm temperature thermostatmonitor temperaturemanage monitor interfaceupper alarm temperature operator interfaceupper alarm temperature thermostatmonitor temperaturemanage alarmupper alarm temperature aninfantair interaction theairinfant interaction anursecontrol monitor alarm anincubatoroperator interfacecontrol monitor alarm anincubatorheat sourceheat theairheat anincubatoroperator interfacecontrol monitor alarm anursecontrol monitor alarm theairheat heat loss theairinfant interaction aninfantair interaction theairair temperature anincubatortemperature sensorair
qa system implementation tc,myprogsubc,outdataport outeventport ineventport,
qa test,,f f,sf sf
qa test blackboard root,mem proc sender receiver cpu part,p p,senderp receiverp
qa test package refined isolated test system impl,bus comp proc,bus access,bus comp procbus access
qa test package refined test system impl,bus comp proc,bus access,bus comp procbus access
qa test package refined test system impl,bus comp proc,bus access,bus comp procbus access
qa test package refined test system impl,bus comp proc,bus access,bus comp procbus access
qa test package refined test system impl,bus comp proc,bus access,bus comp procbus access
qa test package refined test system impl,bus comp proc,bus access,bus comp procbus access
self driving car integration integration functional,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel image analysis distance voter overtaking detection speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd,camerapicture image analysispicture radardistance distance voterdistance radardistance distance voterdistance traffic lane sensorlane crossed overtaking detectionlane change induction speed sensorspeed speed voterspeed optical speed sensorspeed speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed image analysisobstacle detected speed controllerobstacle detected distance voterdistance result speed controllercurrent distance overtaking detectionovertaking active speed controllerovertaking active speed voterspeed result speed controllercurrent speed speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd
self driving car integration integration functional,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd,camerapicture data acquisitionthr image analysispicture radardistance data acquisitionthr distance voterdistance radardistance data acquisitionthr distance voterdistance traffic lane sensorlane crossed data acquisitionthr overtaking detectionlane change induction speed sensorspeed data acquisitionthr speed voterspeed optical speed sensorspeed data acquisitionthr speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed data acquisitionthr image analysisobstacle detected speed controllerobstacle detected data acquisitionthr distance voterdistance result speed controllercurrent distance data acquisitionthr overtaking detectionovertaking active speed controllerovertaking active data acquisitionthr speed voterspeed result speed controllercurrent speed data acquisitionthr speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd
self driving car integration integration functional,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd,camerapicture data acquisitionthr image analysispicture radardistance data acquisitionthr distance voterdistance radardistance data acquisitionthr distance voterdistance traffic lane sensorlane crossed data acquisitionthr overtaking detectionlane change induction speed sensorspeed data acquisitionthr speed voterspeed optical speed sensorspeed data acquisitionthr speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed data acquisitionthr image analysisobstacle detected speed controllerobstacle detected data acquisitionthr distance voterdistance result speed controllercurrent distance data acquisitionthr overtaking detectionovertaking active speed controllerovertaking active data acquisitionthr speed voterspeed result speed controllercurrent speed data acquisitionthr speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd
self driving car integration integration functional,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd,camerapicture data acquisitionthr image analysispicture radardistance data acquisitionthr distance voterdistance radardistance data acquisitionthr distance voterdistance traffic lane sensorlane crossed data acquisitionthr overtaking detectionlane change induction speed sensorspeed data acquisitionthr speed voterspeed optical speed sensorspeed data acquisitionthr speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed data acquisitionthr image analysisobstacle detected speed controllerobstacle detected data acquisitionthr distance voterdistance result speed controllercurrent distance data acquisitionthr overtaking detectionovertaking active speed controllerovertaking active data acquisitionthr speed voterspeed result speed controllercurrent speed data acquisitionthr speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd
self driving car integration integration hardware,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller cpu cpu,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd socket socket socket socket,camerapicture data acquisitionthr image analysispicture radardistance data acquisitionthr distance voterdistance radardistance data acquisitionthr distance voterdistance traffic lane sensorlane crossed data acquisitionthr overtaking detectionlane change induction speed sensorspeed data acquisitionthr speed voterspeed optical speed sensorspeed data acquisitionthr speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed data acquisitionthr image analysisobstacle detected speed controllerobstacle detected data acquisitionthr distance voterdistance result speed controllercurrent distance data acquisitionthr overtaking detectionovertaking active speed controllerovertaking active data acquisitionthr speed voterspeed result speed controllercurrent speed data acquisitionthr speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket
self driving car integration integration hardware,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller cpu cpu,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd socket socket socket socket,camerapicture data acquisitionthr image analysispicture radardistance data acquisitionthr distance voterdistance radardistance data acquisitionthr distance voterdistance traffic lane sensorlane crossed data acquisitionthr overtaking detectionlane change induction speed sensorspeed data acquisitionthr speed voterspeed optical speed sensorspeed data acquisitionthr speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed data acquisitionthr image analysisobstacle detected speed controllerobstacle detected data acquisitionthr distance voterdistance result speed controllercurrent distance data acquisitionthr overtaking detectionovertaking active speed controllerovertaking active data acquisitionthr speed voterspeed result speed controllercurrent speed data acquisitionthr speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket
self driving car integration integration hardware,camera radar radar traffic lane sensor induction speed sensor optical speed sensor acceleration pedal brake accelerator panel data acquisition thr image analysis thr distance voter thr overtaking detection thr speed voter panel controller speed controller cpu cpu,picture distance distance lane crossed speed speed speed brake cmd accelerate cmd current speed desired speed picture distance distance lane change speed speed obstacle detected distance result overtaking active speed result picture obstacle detected distance distance distance result lane change overtaking active speed speed speed result current speed desired speed current speed result desired speed result obstacle detected current distance overtaking active current speed desired speed brake cmd accelerate cmd socket socket socket socket,camerapicture data acquisitionthr image analysispicture radardistance data acquisitionthr distance voterdistance radardistance data acquisitionthr distance voterdistance traffic lane sensorlane crossed data acquisitionthr overtaking detectionlane change induction speed sensorspeed data acquisitionthr speed voterspeed optical speed sensorspeed data acquisitionthr speed voterspeed acceleration pedalspeed panel controllerdesired speed acceleration pedalspeed speed controllerdesired speed data acquisitionthr image analysisobstacle detected speed controllerobstacle detected data acquisitionthr distance voterdistance result speed controllercurrent distance data acquisitionthr overtaking detectionovertaking active speed controllerovertaking active data acquisitionthr speed voterspeed result speed controllercurrent speed data acquisitionthr speed voterspeed result panel controllercurrent speed panel controllercurrent speed result panelcurrent speed panel controllerdesired speed result paneldesired speed speed controllerbrake cmd brakebrake cmd speed controlleraccelerate cmd acceleratoraccelerate cmd cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket cpusocket
shutter smartshutter smartshuttersystem,eth hwc remoteactiondispatcher server shutterengine shuttercontroller ram servercontroller serverthread shutterlogiccontroller logicthread transformthread shutterenginecontroller enginethread cpu,server action dispatch bus access server action dispatch server action receive bus access hwc access engine action receive engine state action dispatch action receive engine state receive bus access hwcaccess receive remote data send remote data data data receive remote data receive engine state data send engine state data send remote data data data action data engine state action data engine state receive engine state send current engine state data data ethernetaccess hwcaccess,logicthreaddata transformthreadaction data eth remoteactiondispatcherbus access eth serverbus access eth shuttercontrollerbus access eth cpuethernetaccess hwc cpuhwcaccess hwc ramhwcaccess hwc serverhwc access remoteactiondispatcherserver action dispatch serverserver action receive remoteactiondispatcherbus access eth serverserver action dispatch shuttercontrolleraction receive serverbus access eth serverhwc access hwc shutterengineengine state shuttercontrollerengine state receive shuttercontrolleraction dispatch shutterengineengine action receive shuttercontrollerbus access eth ramhwcaccess hwc servercontrollerserverthreaddata shutterlogiccontrollerlogicthreaddata shutterlogiccontrollersend remote data servercontrollerserverthreaddata shutterlogiccontrollertransformthreadengine state shutterenginecontrollerenginethreaddata shutterenginecontrollerenginethreaddata shutterlogiccontrollertransformthreadengine state cpuethernetaccess eth cpuhwcaccess hwc
smartparkingapplication informationserviceprovider isp,sub hw bus sub tic collection,bus access,sub hw bus sub ticbus access
smartparkingapplication rse rseowner,rse electricchargesupportprovider rse workzonesafetyprovider rse travelinformationcommunicationprovider rse trafficmeteringprovider rse speedmanagementprovider,rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data,
smartparkingapplication smartparkingsystem tispsys,sub driver sub hardwarecomm sub vehicleobe sub roadsideobe sub parkingmanager sub rse electricchargesupportprovider sub rse workzonesafetyprovider sub rse travelinformationcommunicationprovider sub rse trafficmeteringprovider sub rse speedmanagementprovider sub tic collection,signal signal signal driverinfo input driverout signal parking data received signal parking data received signal signal rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data bus access,signal sub rse electricchargesupportproviderrse ecsp data signal sub rse travelinformationcommunicationproviderrse ticp data signal sub parkingmanagersignal sub hardwarecomm sub ticbus access sub parkingmanagersignal sub driverdriverinfo input sub rse electricchargesupportproviderrse ecsp data sub roadsideobeparking data received sub rse travelinformationcommunicationproviderrse ticp data sub vehicleobeparking data received
sysml pilot flying pilot flying pilot flying,lr l pfsl riseospf risets rl r pfsl riseospf risets,lpfs rpfs t ospf pfs t pfs riseospf risets ospf pfs t pfs riseospf risets,riseospfo pfslriseospf risetso pfslrisets riseospfo pfslriseospf risetso pfslrisets t lsrisetsi t rsrisetsi lro rsriseospfi lspfslpfs lpfs lspfslpfs lri rlo lsriseospfi rspfslpfs rpfs rspfslpfs rli
sysml pilot flying side side,pfsl riseospf risets,ospf pfs t pfs riseospf risets,ospf riseospfi t risetsi pfslpfs pfs riseospfo pfslriseospf risetso pfslrisets
translator device test abstract device illegal port name device test abstract device illegal port name,,status,
translator device test abstract device missing data type responder device test abstract device missing data type responder,,status re,
translator device test abstract device missing port device test abstract device missing port,,status re,
translator noninpulseox noninpulseox,pulseox,status req status re spo alert limit pub spo metric sponum req spo metric sponum re dummy num spo metric sponum pub spo metric sponumalt req spo metric sponumalt re spo metric sponumalt pub spo metric alert limit pub,
translator pulseox forwarding bidirectional system pulseox forwarding bidirectional system imp,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
translator pulseox forwarding devtodev system pulseox forwarding devtodev system imp,pulseox poconsumer applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
translator pulseox forwarding duplicate system pulseox forwarding duplicate system imp,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
translator pulseox forwarding system pulseox forwarding system imp,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,typelessspo spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxtypelessspo applogicspo pulseoxtypelessspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
translator pulseox forwarding system pulseox forwarding system imp,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,spo spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
translator pulseox incdataport system pulseox forwarding system imp,pulseox applogic spoval checkspothread appdisplay updatespothread handlealarmthread,wrong spo spo derivedalarm alarm spo derivedalarm spo alarm,pulseoxspo applogicspo pulseoxspo appdisplayupdatespothreadspo applogiccheckspothreadalarm appdisplayhandlealarmthreadalarm
translator simplecapnograph simplecapnograph,capnograph,status re status re etco metric etconum re etco metric etconum re etco metric etconum pub prescriptiondosesettings setting loadingbolus rec prescriptiondosesettings setting loadingbolus rec stop action command exec stop action command exec,
translator simplepca simplepca,pcapump,status req status re prescriptiondosesettings setting loadingbolus req prescriptiondosesettings setting loadingbolus re prescriptiondosesettings setting loadingbolus sen prescriptiondosesettings setting loadingbolus rcv prescriptiondosesettings setting bolusdose req prescriptiondosesettings setting bolusdose re prescriptiondosesettings setting lockoutinterval req prescriptiondosesettings setting lockoutinterval re prescriptiondruginfosettings setting drugconcentration re prescriptiondruginfosettings setting drugconcentration req drugname setting prescriptiondruginfosettings req drugname setting prescriptiondruginfosettings re prescriptiondruginfosettings setting druginitialvolume req prescriptiondruginfosettings setting druginitialvolume re adminsession setting setting infusedvolumestatus req adminsession setting setting infusedvolumestatus re statussettings status lockouttimerstatus req statussettings status lockouttimerstatus re statussettings status lockouttimerstatus pub statussettings status operationalstatus req statussettings status operationalstatus re statussettings status operationalstatus pub stop action command act event alert warninglowreservoir pub event alert alarmemptyreservoir pub,
tutorial syst securitysystem device,motion sensor magnetic alarm sensor camera alarm unit controller,motion detected alarm set video stream camera alarm video camera motion magnetic camera alarm,motion sensormotion detected controllermotion magnetic alarm sensoralarm set controllermagnetic cameravideo stream controllervideo camera controllercamera cameracamera controlleralarm alarm unitalarm
wobbuloscope wobbuloscope wobbuloscope,oscprobewire generatedsignalwire freqknobwire amplknobwire externalusb frequencyknob amplitudeknob testeddevice oscilloscopeprocess signalthread wobbulatorprocess controlthread signalthread oscilloscopefpga wobbulatorfpga freqknobproc amplknobproc,sampleoutput wobbulatorwaveformin level level signalin probedsignal deviceinput wobbulatorinput sampleout wobbulatorsignal devicesignal sampleout sampleinput frequencyknob amplitudeknob analogout frequency amplitude control control waveform generatedsignal usb dac adc adc usb dac adc adc wire wire,controlthreadcontrol signalthreadcontrol wobbulatorwaveformin wobbulatorprocesssignalthreadwaveform oscprobewire oscilloscopefpgaadc generatedsignalwire oscilloscopefpgaadc generatedsignalwire wobbulatorfpgadac freqknobwire wobbulatorfpgaadc amplknobwire wobbulatorfpgaadc externalusb oscilloscopefpgausb externalusb wobbulatorfpgausb frequencyknoblevel wobbulatorprocesscontrolthreadfrequency amplitudeknoblevel wobbulatorprocesscontrolthreadamplitude testeddeviceprobedsignal oscilloscopeprocesssignalthreaddevicesignal oscilloscopeprocesssignalthreadsampleout sampleoutput wobbulatorprocesssignalthreadgeneratedsignal oscilloscopeprocesssignalthreadwobbulatorsignal wobbulatorprocesssignalthreadgeneratedsignal testeddevicesignalin freqknobprocwire freqknobwire amplknobprocwire amplknobwire
adiru adiru deos,main mem accmem acc hmmem adirupmem shmmem acc pr acc acc acc acc acc acc acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor main cpu part part part part,acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event accout acc command accout acc command accout acc command accout acc command accout acc command accout acc command acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command,hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver alarmaggregatoralarmaggregator diagnosisenginediagnosis diagnosisenginediagnosis mitigationactormitigation acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc error shm pralarmaggregatorarlarm acc acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command adirup prhm thadirup error shm pralarmaggregatorarlarm adirup shm prmitigationactormitigation command acc hm pracc hmacc error action shm prmitigationactormitigation command adirup prhm thadirup error action
adiru adiru emv,main mem accmem acc hmmem adirupmem shmmem acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor main cpu part part part part acc acc acc acc acc acc acc pr acc acc acc acc acc acc,acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command accdata accdata accdata accdata accdata accdata acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event acc input acc input acc input acc input acc input acc input accout acc command acc input accout acc command acc input accout acc command acc input accout acc command acc input accout acc command acc input accout acc command acc input,hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver alarmaggregatoralarmaggregator diagnosisenginediagnosis diagnosisenginediagnosis mitigationactormitigation acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc error shm pralarmaggregatorarlarm acc acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command adirup prhm thadirup error shm pralarmaggregatorarlarm adirup shm prmitigationactormitigation command acc hm pracc hmacc error action shm prmitigationactormitigation command adirup prhm thadirup error action accaccdata acc praccacc input accaccdata acc praccacc input accaccdata acc praccacc input accaccdata acc praccacc input accaccdata acc praccacc input accaccdata acc praccacc input acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor
adiru adiru,main mem accmem acc hmmem adirupmem shmmem acc pr acc acc acc acc acc acc acc hm pr acc hm adirup pr solve th hm th shm pr alarmaggregator diagnosisengine mitigationactor main cpu part part part part,acc output acc output acc output acc output acc output acc output acc event acc event acc event acc event acc event acc event accout acc command accout acc command accout acc command accout acc command accout acc command accout acc command acc input acc input acc input acc input acc input acc input v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout v acc dataout acc error acc error action eventacc eventacc eventacc eventacc eventacc eventacc acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc data monitor acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc validated dataout acc error action acc error event acc event acc event acc event acc event acc event acc acc input acc input acc input acc input acc input acc input adirup error adirup error action solver solver solver solver solver solver accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata accdata adirup error action adirup error arlarm acc arlarm adirup systemhm action acc hm systemhm action adirup arlarm acc arlarm adirup alarmaggregator diagnosis diagnosis mitigation mitigation command,hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver hm thaccdata solve thsolver alarmaggregatoralarmaggregator diagnosisenginediagnosis diagnosisenginediagnosis mitigationactormitigation acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc praccaccout acc hm pracc hmacc data monitor acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc validated dataout adirup prhm thaccdata acc hm pracc hmacc error shm pralarmaggregatorarlarm acc acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command acc hm pracc hmevent acc acc praccacc command adirup prhm thadirup error shm pralarmaggregatorarlarm adirup shm prmitigationactormitigation command acc hm pracc hmacc error action shm prmitigationactormitigation command adirup prhm thadirup error action
