Model,Cluster,Component,Feature
aadl-qa_KSU_Isolette_thermostat_single_sensor_impl_1,4,"detect_regulator_fail, detect_monitor_fail, regulate_temperature, manage_regulator_interface, manage_heat_source, manage_regulator_mode, monitor_temperature, manage_alarm, manage_monitor_interface, manage_monitor_mode","current_temperature, heat_control, lower_desired_temperature, upper_desired_temperature, lower_alarm_temperature, upper_alarm_temperature, regulator_status, monitor_status, display_temperature, alarm, internal_failure, internal_failure, lower_desired_temperature, upper_desired_temperature, regulator_status, displayed_temp, current_temperature, heat_control, regulator_status, lower_desired_temp, upper_desired_temp, current_temperature, displayed_temp, regulator_mode, interface_failure, heat_control, current_temperature, lower_desired_temperature, upper_desired_temperature, regulator_mode, regulator_mode, current_temperature, interface_failure, internal_failure, current_temperature, lower_alarm_temperature, upper_alarm_temperature, alarm, monitor_status, regulator_failure, monitor_failure, alarm_control, monitor_mode, lower_alarm_temperature, upper_alarm_temperature, current_temperature, alarm_range, current_temperature, monitor_mode, upper_alarm_temperature, lower_alarm_temperature, monitor_status, interface_failure, monitor_mode, interface_failure, internal_failure, current_temperature"
aadl-qa_nameresolution_top_i_1,2,sys,"tin, pin"
aadl-qa_Nursery_Room_Normal_Operation_1,4,"anInfant, aNurse, anIncubator, temperature_sensor, heat_source, thermostat, detect_regulator_fail, detect_monitor_fail, regulate_temperature, manage_regulator_interface, manage_heat_source, manage_regulator_mode, monitor_temperature, manage_alarm, manage_monitor_interface, manage_monitor_mode, operator_interface, theAir","heat_loss, air_interaction, control_monitor_alarm, heat_out, control_monitor_alarm, air_temperature, air, current_temperature, heat_control, heat_out, current_temperature, heat_control, lower_desired_temperature, upper_desired_temperature, lower_alarm_temperature, upper_alarm_temperature, regulator_status, monitor_status, display_temperature, alarm, internal_failure, internal_failure, lower_desired_temperature, upper_desired_temperature, regulator_status, displayed_temp, current_temperature, heat_control, regulator_status, lower_desired_temp, upper_desired_temp, current_temperature, displayed_temp, regulator_mode, interface_failure, heat_control, current_temperature, lower_desired_temperature, upper_desired_temperature, regulator_mode, regulator_mode, current_temperature, interface_failure, internal_failure, current_temperature, lower_alarm_temperature, upper_alarm_temperature, alarm, monitor_status, regulator_failure, monitor_failure, alarm_control, monitor_mode, lower_alarm_temperature, upper_alarm_temperature, current_temperature, alarm_range, current_temperature, monitor_mode, upper_alarm_temperature, lower_alarm_temperature, monitor_status, interface_failure, monitor_mode, interface_failure, internal_failure, current_temperature, control_monitor_alarm, lower_desired_temperature, upper_desired_temperature, lower_alarm_temperature, upper_alarm_temperature, regulator_status, monitor_status, display_temperature, alarm, heat_in, heat_out, infant_interaction, air_temperature"
aadl-qa_SYSTEM_IMPLEMENTATION_TC1_T_I_1,10,myProgSubc,"outDataPort, outEventPort, inEventPort"
aadl-qa_test2_s_i_1,10,"s1, s2","f, f"
aadl-qa_test_blackboard_root_impl_1,36,"the_mem, the_proc, the_sender, the_receiver, the_cpu, the_part","p, p"
aadl-qa_test_package_refined_isolated_Test_System_impl2_1,21,"bus_comp, proc",bus_access
aadl-qa_test_package_refined_Test_System_impl1_1,21,"bus_comp, proc",bus_access
aadl-qa_test_package_refined_Test_System_impl2_1,21,"bus_comp, proc",bus_access
aadl-qa_test_package_refined_Test_System_impl3_1,21,"bus_comp, proc",bus_access
aadl-qa_test_package_refined_Test_System_impl4_1,21,"bus_comp, proc",bus_access
aadl-qa_test_package_refined_Test_System_impl5_1,21,"bus_comp, proc",bus_access
AADL-Self-driving-car_integration_integration_functional_1,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, image_analysis, distance_voter, overtaking_detection, speed_voter, panel_controller, speed_controller","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd"
AADL-Self-driving-car_integration_integration_functional_2,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, data_acquisition, thr_image_analysis, thr_distance_voter, thr_overtaking_detection, thr_speed_voter, panel_controller, speed_controller","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, distance1, distance2, lane_change, speed1, speed2, obstacle_detected, distance_result, overtaking_active, speed_result, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd"
AADL-Self-driving-car_integration_integration_functional_3,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, data_acquisition, thr_image_analysis, thr_distance_voter, thr_overtaking_detection, thr_speed_voter, panel_controller, speed_controller","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, distance1, distance2, lane_change, speed1, speed2, obstacle_detected, distance_result, overtaking_active, speed_result, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd"
AADL-Self-driving-car_integration_integration_functional_4,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, data_acquisition, thr_image_analysis, thr_distance_voter, thr_overtaking_detection, thr_speed_voter, panel_controller, speed_controller","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, distance1, distance2, lane_change, speed1, speed2, obstacle_detected, distance_result, overtaking_active, speed_result, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd"
AADL-Self-driving-car_integration_integration_hardware_1,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, data_acquisition, thr_image_analysis, thr_distance_voter, thr_overtaking_detection, thr_speed_voter, panel_controller, speed_controller, can1, can2, can3, cpu1, cpu2","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, distance1, distance2, lane_change, speed1, speed2, obstacle_detected, distance_result, overtaking_active, speed_result, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd, socket1, socket2, socket1, socket2"
AADL-Self-driving-car_integration_integration_hardware_2,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, data_acquisition, thr_image_analysis, thr_distance_voter, thr_overtaking_detection, thr_speed_voter, panel_controller, speed_controller, can1, can2, can3, cpu1, cpu2","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, distance1, distance2, lane_change, speed1, speed2, obstacle_detected, distance_result, overtaking_active, speed_result, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd, socket1, socket2, socket1, socket2"
AADL-Self-driving-car_integration_integration_hardware_3,40,"camera, radar1, radar2, traffic_lane_sensor, induction_speed_sensor, optical_speed_sensor, acceleration_pedal, brake, accelerator, panel, data_acquisition, thr_image_analysis, thr_distance_voter, thr_overtaking_detection, thr_speed_voter, panel_controller, speed_controller, can1, can2, can3, cpu1, cpu2","picture, distance, distance, lane_crossed, speed, speed, speed, brake_cmd, accelerate_cmd, current_speed, desired_speed, picture, distance1, distance2, lane_change, speed1, speed2, obstacle_detected, distance_result, overtaking_active, speed_result, picture, obstacle_detected, distance1, distance2, distance_result, lane_change, overtaking_active, speed1, speed2, speed_result, current_speed, desired_speed, current_speed_result, desired_speed_result, obstacle_detected, current_distance, overtaking_active, current_speed, desired_speed, brake_cmd, accelerate_cmd, socket1, socket2, socket1, socket2"
aadl-shutter_smartshutter_SmartShutterSystem_impl_1,4,"eth, hwc, remoteActionDispatcher, server, shutterEngine, shutterController, ram, serverController, serverThread, shutterLogicController, logicThread, transformThread, shutterEngineController, engineThread, cpu","server_action_dispatch, bus_access, server_action_dispatch, server_action_receive, bus_access, hwc_access, engine_action_receive, engine_state, action_dispatch, action_receive, engine_state_receive, bus_access, hwcAccess, receive_remote_data, send_remote_data, data_in, data_out, receive_remote_data, receive_engine_state_data, send_engine_state_data, send_remote_data, data_in, data_out, action_data_in, engine_state_out, action_data_out, engine_state_in, receive_engine_state, send_current_engine_state, data_in, data_out, ethernetAccess, hwcAccess"
AADL-SmartParkingApplication_InformationServiceProvider_ISP_impl_1,21,"sub_hw_bus, sub_TIC, collection",bus_access
AADL-SmartParkingApplication_RSE_RSEOwner_impl_1,44,"RSE_ElectricChargeSupportProvider, RSE_WorkzoneSafetyProvider, RSE_TravelInformationCommunicationProvider, RSE_TrafficMeteringProvider, RSE_SpeedManagementProvider","RSE_ECSP_data_in, RSE_ECSP_data_out, RSE_WSP_data_in, RSE_WSP_data_out, RSE_TICP_data_in, RSE_TICP_data_out, RSE_TMP_data_in, RSE_TMP_data_out, RSE_SMP_data_in, RSE_SMP_data_out"
AADL-SmartParkingApplication_SmartParkingSystem_tispSys_impl_1,13,"sub_driver, sub_hardwareComm, sub_vehicleOBE, sub_roadsideOBE, sub_parkingManager, sub_RSE_ElectricChargeSupportProvider, sub_RSE_WorkzoneSafetyProvider, sub_RSE_TravelInformationCommunicationProvider, sub_RSE_TrafficMeteringProvider, sub_RSE_SpeedManagementProvider, sub_TIC, collection","signal_in, signal2_in, signal3_in, DriverInfo_input, DriverOut, signal_out, parking_data_received, signal_out, parking_data_received, signal_out, signal_in, RSE_ECSP_data_in, RSE_ECSP_data_out, RSE_WSP_data_in, RSE_WSP_data_out, RSE_TICP_data_in, RSE_TICP_data_out, RSE_TMP_data_in, RSE_TMP_data_out, RSE_SMP_data_in, RSE_SMP_data_out, bus_access"
aadl-sysml_Pilot_Flying_Pilot_Flying_Pilot_Flying_Impl_1,22,"LR, LS, PFSL, riseOSPF, riseTS, RL, RS, PFSL, riseOSPF, riseTS","LPFS, RPFS, TS, I, O, OSPF, PFS, TS, PFS, riseOSPF, riseTS, O, I, O, I, I, O, OSPF, PFS, TS, PFS, riseOSPF, riseTS, O, I, O, I"
aadl-sysml_Pilot_Flying_Side_Side_Impl_1,22,"PFSL, riseOSPF, riseTS","OSPF, PFS, TS, PFS, riseOSPF, riseTS, O, I, O, I"
aadl-translator_Device_AADL_Test_Abstract_Device_Illegal_Port_Name_Device_AADL_Test_Abstract_Device_Illegal_Port_Name_impl_1,13,d1,Status_in
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Data_Type_Responder_Device_AADL_Test_Abstract_Device_Missing_Data_Type_Responder_impl_1,13,d1,Status_res_out
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Ports_Device_AADL_Test_Abstract_Device_Missing_Ports_impl_1,13,d1,Status_res_in
aadl-translator_NoninPulseOx_NoninPulseOx_impl_1,13,pulseox,"Status_req, Status_res, Spo2_Alerts_Limit_pub, Spo2_Metric_Spo2Num_req, Spo2_Metric_Spo2Num_res, dummy_num_in, Spo2_Metric_Spo2Num_pub, Spo2_Metric_Spo2NumAlt_req, Spo2_Metric_Spo2NumAlt_res, Spo2_Metric_Spo2NumAlt_pub, Spo2_Metrics_Alerts_Limit_pub"
aadl-translator_PulseOx_Forwarding_Bidirectional_System_PulseOx_Forwarding_Bidirectional_System_imp_1,42,"pulseOx, appLogic, SpO2Val, CheckSpO2Thread, appDisplay, UpdateSpO2Thread, HandleAlarmThread","SpO2, SpO2, DerivedAlarm, Alarm, SpO2, DerivedAlarm, SpO2, Alarm"
aadl-translator_PulseOx_Forwarding_DevToDev_System_PulseOx_Forwarding_DevToDev_System_imp_1,42,"pulseOx, poConsumer, appLogic, SpO2Val, CheckSpO2Thread, appDisplay, UpdateSpO2Thread, HandleAlarmThread","SpO2, SpO2, SpO2, DerivedAlarm, Alarm, SpO2, DerivedAlarm, SpO2, Alarm"
aadl-translator_PulseOx_Forwarding_Duplicate_System_PulseOx_Forwarding_Duplicate_System_imp_1,42,"pulseOx, appLogic, SpO2Val, CheckSpO2Thread, appDisplay, UpdateSpO2Thread, HandleAlarmThread","SpO2, SpO2, DerivedAlarm, Alarm, SpO2, DerivedAlarm, SpO2, Alarm"
aadl-translator_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_1,42,"pulseOx, appLogic, SpO2Val, CheckSpO2Thread, appDisplay, UpdateSpO2Thread, HandleAlarmThread","TypelessSpO2, SpO2, DerivedAlarm, Alarm, SpO2, DerivedAlarm, SpO2, Alarm"
aadl-translator_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_2,42,"pulseOx, appLogic, SpO2Val, CheckSpO2Thread, appDisplay, UpdateSpO2Thread, HandleAlarmThread","SpO2, SpO2, DerivedAlarm, Alarm, SpO2, DerivedAlarm, SpO2, Alarm"
aadl-translator_PulseOx_IncDataPort_System_PulseOx_Forwarding_System_imp_1,42,"pulseOx, appLogic, SpO2Val, CheckSpO2Thread, appDisplay, UpdateSpO2Thread, HandleAlarmThread","Wrong, SpO2, SpO2, DerivedAlarm, Alarm, SpO2, DerivedAlarm, SpO2, Alarm"
aadl-translator_SimpleCapnograph_SimpleCapnograph_impl_1,13,capnograph,"Status_res_in, Status_res_out, Etco2_Metric_Etco2Num_res_in, Etco2_Metric_Etco2Num_res_out, Etco2_Metric_Etco2Num_pub_out, PrescriptionDoseSettings_Settings_LoadingBolus_rec_in, PrescriptionDoseSettings_Settings_LoadingBolus_rec_out, Stop_Actions_Commands_exec_in, Stop_Actions_Commands_exec_out"
aadl-translator_SimplePCA_SimplePCA_impl_1,13,pcapump,"Status_req, Status_res, PrescriptionDoseSettings_Settings_LoadingBolus_req, PrescriptionDoseSettings_Settings_LoadingBolus_res, PrescriptionDoseSettings_Settings_LoadingBolus_sen, PrescriptionDoseSettings_Settings_LoadingBolus_rcv, PrescriptionDoseSettings_Settings_BolusDose_req, PrescriptionDoseSettings_Settings_BolusDose_res, PrescriptionDoseSettings_Settings_LockOutInterval_req, PrescriptionDoseSettings_Settings_LockOutInterval_res, PrescriptionDrugInfoSettings_Settings_DrugConcentration_res, PrescriptionDrugInfoSettings_Settings_DrugConcentration_req, DrugName_Settings_PrescriptionDrugInfoSettings_req, DrugName_Settings_PrescriptionDrugInfoSettings_res, PrescriptionDrugInfoSettings_Settings_DrugInitialVolume_req, PrescriptionDrugInfoSettings_Settings_DrugInitialVolume_res, AdminSession_Settings_Settings_InfusedVolumeStatus_req, AdminSession_Settings_Settings_InfusedVolumeStatus_res, StatusSettings_Statuses_LockOutTimerStatus_req, StatusSettings_Statuses_LockOutTimerStatus_res, StatusSettings_Statuses_LockOutTimerStatus_pub, StatusSettings_Statuses_OperationalStatus_req, StatusSettings_Statuses_OperationalStatus_res, StatusSettings_Statuses_OperationalStatus_pub, Stop_Actions_Commands_act, Events_Alerts_WarningLowReservoir_pubs, Events_Alerts_AlarmEmptyReservoir_pub"
AADL-Tutorial_syst_SecuritySystem_with_devices_1,9,"this_motion_sensor, this_magnetic_alarm_sensor, this_camera, this_alarm_unit, this_controller","motion_detected, alarm_set_off, video_stream, camera_on_off, alarm_on_off, video_from_camera, motion_in, magnetic_in, camera_out, alarm_out"
AADL-Wobbuloscope_Wobbuloscope_Wobbuloscope_impl_1,40,"oscProbeWire, generatedSignalWire, freqKnobWire, amplKnobWire, externalUsb, frequencyKnob, amplitudeKnob, testedDevice, oscilloscopeProcess, signalThread, wobbulatorProcess, controlThread, signalThread, oscilloscopeFpga, wobbulatorFpga, freqKnobProc, amplKnobProc","sampleOutput, wobbulatorWaveformIn, level, level, signalIn, probedSignal, deviceInput, wobbulatorInput, sampleOut, wobbulatorSignal, deviceSignal, sampleOut, sampleInput, frequencyKnob, amplitudeKnob, analogOut, frequency, amplitude, control, control, waveform, generatedSignal, usb, dac, adc1, adc2, usb, dac, adc1, adc2, wire, wire"
AADLib_ADIRU_ADIRU_DeOS_1,44,"main_mem, accMem, acc_hmMem, ADIRUpMem, SHMMem, acc_pr, acc1, acc2, acc3, acc4, acc5, acc6, acc_hm_pr, acc_HM, ADIRUp_pr, solve_th1, HM_th, SHM_pr, alarmAggregator, diagnosisEngine, mitigationActor, main_cpu, part1, part2, part3, part4","acc1_output, acc2_output, acc3_output, acc4_output, acc5_output, acc6_output, acc1_event_in, acc2_event_in, acc3_event_in, acc4_event_in, acc5_event_in, acc6_event_in, acc1out, acc1_command_in, acc2out, acc2_command_in, accout, acc_command_in, accout, acc_command_in, accout, acc_command_in, accout, acc_command_in, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, v_acc1_dataout, v_acc2_dataout, v_acc3_dataout, v_acc4_dataout, v_acc5_dataout, v_acc6_dataout, acc_error_out, acc_error_action, event2acc1, event2acc2, event2acc3, event2acc4, event2acc5, event2acc6, acc1_data_monitor, acc2_data_monitor, acc3_data_monitor, acc4_data_monitor, acc5_data_monitor, acc6_data_monitor, acc1_validated_dataout, acc2_validated_dataout, acc3_validated_dataout, acc4_validated_dataout, acc5_validated_dataout, acc6_validated_dataout, acc_error_action, acc_error_out, event_to_acc1, event_to_acc2, event_to_acc3, event_to_acc4, event_to_acc5, event_to_acc6, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, ADIRUp_error_out, ADIRUp_error_action, solver_in1, solver_in2, solver_in3, solver_in4, solver_in5, solver_in6, accData_in1, accData_in2, accData_in3, accData_in4, accData_in5, accData_in6, accData_out1, accData_out2, accData_out3, accData_out4, accData_out5, accData_out6, adirup_error_action, adirup_error_out, arlarm_acc_in, arlarm_adirup_in, systemHM_action_acc_hm, systemHM_action_adirup, arlarm_acc_in, arlarm_adirup_in, alarmAggregator_out, diagnosis_in, diagnosis_out, mitigation_in, mitigation_command"
AADLib_ADIRU_ADIRU_EMV2_1,44,"main_mem, accMem, acc_hmMem, ADIRUpMem, SHMMem, acc_hm_pr, acc_HM, ADIRUp_pr, solve_th1, HM_th, SHM_pr, alarmAggregator, diagnosisEngine, mitigationActor, main_cpu, part1, part2, part3, part4, acc1, acc2, acc3, acc4, acc5, acc6, acc_pr, acc1, acc2, acc3, acc4, acc5, acc6","acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, v_acc1_dataout, v_acc2_dataout, v_acc3_dataout, v_acc4_dataout, v_acc5_dataout, v_acc6_dataout, acc_error_out, acc_error_action, event2acc1, event2acc2, event2acc3, event2acc4, event2acc5, event2acc6, acc1_data_monitor, acc2_data_monitor, acc3_data_monitor, acc4_data_monitor, acc5_data_monitor, acc6_data_monitor, acc1_validated_dataout, acc2_validated_dataout, acc3_validated_dataout, acc4_validated_dataout, acc5_validated_dataout, acc6_validated_dataout, acc_error_action, acc_error_out, event_to_acc1, event_to_acc2, event_to_acc3, event_to_acc4, event_to_acc5, event_to_acc6, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, ADIRUp_error_out, ADIRUp_error_action, solver_in1, solver_in2, solver_in3, solver_in4, solver_in5, solver_in6, accData_in1, accData_in2, accData_in3, accData_in4, accData_in5, accData_in6, accData_out1, accData_out2, accData_out3, accData_out4, accData_out5, accData_out6, adirup_error_action, adirup_error_out, arlarm_acc_in, arlarm_adirup_in, systemHM_action_acc_hm, systemHM_action_adirup, arlarm_acc_in, arlarm_adirup_in, alarmAggregator_out, diagnosis_in, diagnosis_out, mitigation_in, mitigation_command, accData, accData, accData, accData, accData, accData, acc1_output, acc2_output, acc3_output, acc4_output, acc5_output, acc6_output, acc1_event_in, acc2_event_in, acc3_event_in, acc4_event_in, acc5_event_in, acc6_event_in, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, acc1out, acc1_command_in, acc1_input, acc2out, acc2_command_in, acc2_input, accout, acc_command_in, acc3_input, accout, acc_command_in, acc4_input, accout, acc_command_in, acc5_input, accout, acc_command_in, acc6_input"
AADLib_ADIRU_ADIRU_impl_1,44,"main_mem, accMem, acc_hmMem, ADIRUpMem, SHMMem, acc_pr, acc1, acc2, acc3, acc4, acc5, acc6, acc_hm_pr, acc_HM, ADIRUp_pr, solve_th1, HM_th, SHM_pr, alarmAggregator, diagnosisEngine, mitigationActor, main_cpu, part1, part2, part3, part4","acc1_output, acc2_output, acc3_output, acc4_output, acc5_output, acc6_output, acc1_event_in, acc2_event_in, acc3_event_in, acc4_event_in, acc5_event_in, acc6_event_in, acc1out, acc1_command_in, acc2out, acc2_command_in, accout, acc_command_in, accout, acc_command_in, accout, acc_command_in, accout, acc_command_in, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, v_acc1_dataout, v_acc2_dataout, v_acc3_dataout, v_acc4_dataout, v_acc5_dataout, v_acc6_dataout, acc_error_out, acc_error_action, event2acc1, event2acc2, event2acc3, event2acc4, event2acc5, event2acc6, acc1_data_monitor, acc2_data_monitor, acc3_data_monitor, acc4_data_monitor, acc5_data_monitor, acc6_data_monitor, acc1_validated_dataout, acc2_validated_dataout, acc3_validated_dataout, acc4_validated_dataout, acc5_validated_dataout, acc6_validated_dataout, acc_error_action, acc_error_out, event_to_acc1, event_to_acc2, event_to_acc3, event_to_acc4, event_to_acc5, event_to_acc6, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, ADIRUp_error_out, ADIRUp_error_action, solver_in1, solver_in2, solver_in3, solver_in4, solver_in5, solver_in6, accData_in1, accData_in2, accData_in3, accData_in4, accData_in5, accData_in6, accData_out1, accData_out2, accData_out3, accData_out4, accData_out5, accData_out6, adirup_error_action, adirup_error_out, arlarm_acc_in, arlarm_adirup_in, systemHM_action_acc_hm, systemHM_action_adirup, arlarm_acc_in, arlarm_adirup_in, alarmAggregator_out, diagnosis_in, diagnosis_out, mitigation_in, mitigation_command"
AADLib_ADIRU_ADIRU_VxWorks653_1,44,"main_mem, accMem, acc_hmMem, ADIRUpMem, SHMMem, acc_pr, acc1, acc2, acc3, acc4, acc5, acc6, acc_hm_pr, acc_HM, ADIRUp_pr, solve_th1, HM_th, SHM_pr, alarmAggregator, diagnosisEngine, mitigationActor, main_cpu, part1, part2, part3, part4","acc1_output, acc2_output, acc3_output, acc4_output, acc5_output, acc6_output, acc1_event_in, acc2_event_in, acc3_event_in, acc4_event_in, acc5_event_in, acc6_event_in, acc1out, acc1_command_in, acc2out, acc2_command_in, accout, acc_command_in, accout, acc_command_in, accout, acc_command_in, accout, acc_command_in, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, v_acc1_dataout, v_acc2_dataout, v_acc3_dataout, v_acc4_dataout, v_acc5_dataout, v_acc6_dataout, acc_error_out, acc_error_action, event2acc1, event2acc2, event2acc3, event2acc4, event2acc5, event2acc6, acc1_data_monitor, acc2_data_monitor, acc3_data_monitor, acc4_data_monitor, acc5_data_monitor, acc6_data_monitor, acc1_validated_dataout, acc2_validated_dataout, acc3_validated_dataout, acc4_validated_dataout, acc5_validated_dataout, acc6_validated_dataout, acc_error_action, acc_error_out, event_to_acc1, event_to_acc2, event_to_acc3, event_to_acc4, event_to_acc5, event_to_acc6, acc1_input, acc2_input, acc3_input, acc4_input, acc5_input, acc6_input, ADIRUp_error_out, ADIRUp_error_action, solver_in1, solver_in2, solver_in3, solver_in4, solver_in5, solver_in6, accData_in1, accData_in2, accData_in3, accData_in4, accData_in5, accData_in6, accData_out1, accData_out2, accData_out3, accData_out4, accData_out5, accData_out6, adirup_error_action, adirup_error_out, arlarm_acc_in, arlarm_adirup_in, systemHM_action_acc_hm, systemHM_action_adirup, arlarm_acc_in, arlarm_adirup_in, alarmAggregator_out, diagnosis_in, diagnosis_out, mitigation_in, mitigation_command"
AADLib_AOCS_AOCS_Subsystem_impl_1,40,"DMA, obdh, FSS, CSS, SPS, ES, MGM, GYR, STR, GPS, THU, RW, MGT, central_computer, watchdog, main, ACF, OCF, TCP, TMP, FDR, FR, Reconfig, ME, cpu","FSS_data, power_status_FSS, reconfiguration, DMA, CSS_data, power_status_CSS, reconfiguration, DMA, SPS_data, power_status_SPS, reconfiguration, DMA, ES_data, power_status_ES, reconfiguration, DMA, MGM_data, power_status_MGM, reconfiguration, DMA, GYR_data, power_status_GYR, reconfiguration, DMA, STR_data, power_status_STR, reconfiguration, DMA, GPS_data, power_status_GPS, reconfiguration, DMA, THU_data, power_status_THU, reconfiguration, DMA, RW_data, power_status_RW, reconfiguration, DMA, MGT_data, power_status_MGT, reconfiguration, DMA, telecommand, telemetry, OBDH, watchdog_event, anomaly_detected, sensored_attitude, sun_direction, reference_torque, reference_force, telecommand, power_status_FSS, power_status_CSS, power_status_SPS, power_status_ES, power_status_MGM, power_status_GYR, power_status_STR, power_status_GPS, power_status_THU, power_status_RW, power_status_MGT, telemetry, FSS_reconfiguration, CSS_reconfiguration, SPS_reconfiguration, ES_reconfiguration, MGM_reconfiguration, GYR_reconfiguration, STR_reconfiguration, GPS_reconfiguration, THU_reconfiguration, RW_reconfiguration, MGT_reconfiguration, torque_command, force_command, Forcing_Safe_Mode, Getting_Back_To_Normal_Mode, Force_mode_to_SM, Force_mode_to_NM, watchdog_event, anomaly_detected, Changing_mode_to_SM, Changing_mode_to_NM, nominal_attitude, sensored_attitude, sun_direction, reference_torque, nominal_orbit, reference_force, telecommand, nominal_attitude, nominal_orbit, power_status_FSS, power_status_CSS, power_status_SPS, power_status_ES, power_status_MGM, power_status_GYR, power_status_STR, power_status_GPS, power_status_TRU, power_status_RW, power_status_MGT, manoeuvre_command, attitude_window, check_thresholds, Force_mode_to_NM, Force_mode_to_SM, torque_command, force_command, sensor_data1, sensor_data2, sensor_data3, sensor_data4, sensor_data5, sensor_data6, sensor_data7, sensor_data8, telemetry, sensored_attitude, sun_direction, attitude_window, sensor_data1, sensor_data2, sensor_data3, sensor_data4, sensor_data5, sensor_data6, sensor_data7, sensor_data8, check_thresholds, watchdog_event, anomaly_detected, reset, reconfiguration_command, Changing_mode_to_SM, Changing_mode_to_NM, command, FSS_reconfiguration, CSS_reconfiguration, SPS_reconfiguration, ES_reconfiguration, MGM_reconfiguration, GYR_reconfiguration, STR_reconfiguration, GPS_reconfiguration, THU_reconfiguration, RW_reconfiguration, MGT_reconfiguration, command, torque_command, force_command"
AADLib_arincexample2_arinc653system_impl_1,19,"rtbus, module1, netif, mainmemory, mem1, mem2, mem3, process_part1, process_part2, cpu, part1, part2, part3, module2, netif, mainmemory, mem1, mem2, process_part1, thread_part1, cpu, part1","thebus, sensorout, thebus, sensorout, thebus, sensorin, thebus, sensorin, sensorin"
AADLib_arincexample2_module1_system_impl_1,36,"netif, mainmemory, mem1, mem2, mem3, process_part1, process_part2, cpu, part1, part2, part3","thebus, sensorout, thebus, sensorout"
AADLib_arincexample2_module2_system_impl_1,36,"netif, mainmemory, mem1, mem2, process_part1, thread_part1, cpu, part1","thebus, sensorin, thebus, sensorin, sensorin"
